Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-44.0	-44.0	-50.0	-1.0300685	1.7772286	1.3344481	-15.589215	-1.0301248	0.0	2500	29.225230932235718
1	-46.0	-46.0	-45.0	-2.0774412	4.0406013	0.55829453	-23.249798	-2.077494	0.1	5000	58.60234069824219
2	-45.92	-45.92	-45.0	-3.0238602	6.2853518	0.7674912	-38.03727	-3.0239067	0.1	7500	87.66122388839722
3	-45.96	-45.96	-50.0	-3.9442768	8.317886	0.9048763	-48.128273	-3.9444087	0.0	10000	115.99262475967407
4	-49.84	-49.84	-40.0	-4.62389	9.835112	48.211918	-436.0119	-4.6239653	0.2	12500	143.88350558280945
5	-48.0	-48.0	-50.0	-5.3157415	11.119249	3.3868825	-54.357395	-5.315974	0.0	15000	172.04669380187988
6	-48.0	-48.0	-50.0	-5.9364486	12.407833	14.208618	-51.525455	-5.9365563	0.0	17500	201.47358775138855
7	-49.0	-49.0	-50.0	-6.4441843	13.4626875	15.932841	-65.33192	-6.444268	0.0	20000	231.5486364364624
8	-48.0	-48.0	-45.0	-6.9505343	14.462874	16.500729	-57.324238	-6.950654	0.1	22500	260.8932189941406
9	-47.94	-47.94	-45.0	-7.3273244	15.273313	9.845027	-58.192673	-7.3273573	0.1	25000	289.3035361766815
10	-47.96	-47.96	-50.0	-7.6659117	15.912704	23.619848	-72.06918	-7.6658764	0.0	27500	317.7161793708801
11	-45.0	-45.0	-45.0	-7.9063907	16.376955	9.158398	-56.43106	-7.906031	0.1	30000	346.2411344051361
12	-49.0	-49.0	-50.0	-8.097404	16.77464	17.328976	-61.043606	-8.09709	0.0	32500	371.80681467056274
13	-47.0	-47.0	-40.0	-8.287306	17.12437	4.325516	-60.90651	-8.2871065	0.2	35000	396.8044502735138
14	-48.0	-48.0	-49.6	-8.384161	17.34666	6.2767525	-57.99467	-8.383904	0.0	37500	422.99445128440857
15	-45.0	-45.0	-50.0	-8.578425	17.65941	5.898841	-61.00483	-8.578142	0.0	40000	451.57266306877136
16	-45.0	-45.0	-50.0	-8.6349125	17.820269	7.4001	-56.314342	-8.634538	0.0	42500	480.46167969703674
17	-47.0	-47.0	-45.0	-8.792839	18.047882	4.7226024	-61.08623	-8.792479	0.1	45000	508.75004529953003
18	-45.0	-45.0	-50.0	-8.755261	18.086851	4.3977194	-59.90427	-8.754912	0.0	47500	537.2621376514435
19	-49.0	-49.0	-50.0	-8.876711	18.252874	7.960802	-67.89202	-8.876498	0.0	50000	565.7586557865143
20	-48.88	-48.88	-50.0	-8.93633	18.354967	4.7650585	-58.198273	-8.936102	0.0	52500	594.3944363594055
21	-46.0	-46.0	-50.0	-9.059569	18.512396	3.0200496	-59.466354	-9.059276	0.0	55000	622.5921924114227
22	-49.0	-49.0	-30.0	-8.9966135	18.490377	3.9150574	-61.184757	-8.996425	0.4	57500	651.3886075019836
23	-47.0	-47.0	-50.0	-9.024497	18.54923	9.130793	-60.13199	-9.0243435	0.0	60000	680.2356207370758
24	-43.0	-43.0	-45.0	-9.021667	18.550713	3.293497	-62.535492	-9.021676	0.1	62500	708.544183254242
