Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-50.0	-50.0	-50.0	-1.3421015	1.9434851	1.0747656	-12.263769	-1.342357	0.0	2500	68.28361129760742
1	-47.1	-47.1	-40.0	-2.4465437	4.4609556	1.0749377	-22.476624	-2.4468453	0.2	5000	141.71411085128784
2	-47.0	-47.0	-45.0	-3.4938552	6.8505526	1.236666	-27.32565	-3.494567	0.1	7500	216.82695031166077
3	-46.0	-46.0	-45.0	-4.328284	8.784404	2.1414168	-41.674347	-4.3278227	0.1	10000	291.85786533355713
4	-48.9	-48.9	-50.0	-4.9980135	10.305838	1.4276128	-51.96114	-4.9979086	0.0	12500	363.7270622253418
5	-46.0	-46.0	-45.0	-5.557589	11.582729	1.8356735	-53.813065	-5.5573993	0.1	15000	437.0827317237854
6	-45.0	-45.0	-45.0	-6.1057196	12.709893	3.9300084	-83.28381	-6.105469	0.1	17500	509.887948513031
7	-47.0	-47.0	-45.0	-6.6150017	13.715449	3.3178096	-58.04867	-6.6151986	0.1	20000	585.0437173843384
8	-46.98	-46.98	-40.0	-6.9427557	14.471786	1.689492	-64.51057	-6.943131	0.2	22500	658.7883965969086
9	-49.0	-49.0	-50.0	-7.2956057	15.132383	1.4841512	-60.96161	-7.2956824	0.0	25000	733.3399007320404
10	-47.0	-47.0	-45.0	-7.5510454	15.63304	1.4602871	-60.17928	-7.55094	0.1	27500	807.5902705192566
11	-47.0	-47.0	-45.0	-7.7887993	16.125158	2.9802747	-62.897808	-7.788587	0.1	30000	880.222264289856
12	-49.0	-49.0	-45.0	-8.112764	16.702473	1.5292615	-59.024876	-8.11328	0.1	32500	955.0485799312592
13	-45.74	-45.74	-50.0	-8.303644	17.100765	3.78091	-62.957653	-8.303558	0.0	35000	1027.3287236690521
14	-46.62	-46.62	-45.0	-8.423764	17.404724	2.3237994	-56.065205	-8.424001	0.1	37500	1101.8867721557617
15	-45.34	-45.34	-50.0	-8.498627	17.497265	3.5408087	-62.781364	-8.498087	0.0	40000	1176.93869805336
16	-48.0	-48.0	-45.0	-8.492958	17.4521	1.9731128	-70.622246	-8.494322	0.1	42500	1250.8643383979797
17	-42.92	-42.92	-50.0	-8.480949	17.442383	4.364073	-71.13822	-8.480773	0.0	45000	1327.4421031475067
18	-47.3	-47.3	-45.0	-8.4712925	17.450008	2.774026	-62.627716	-8.472612	0.1	47500	1402.4805510044098
19	-48.0	-48.0	-50.0	-8.531255	17.525003	1.8676972	-78.3327	-8.532449	0.0	50000	1476.0899412631989
20	-47.26	-47.26	-45.0	-8.658994	17.710308	1.399394	-66.71727	-8.659365	0.1	52500	1551.590392589569
21	-50.0	-50.0	-50.0	-8.6768875	17.795078	1.8640206	-58.455486	-8.676965	0.0	55000	1625.6359395980835
22	-48.06	-48.06	-50.0	-8.762474	17.937586	1.8543657	-64.93935	-8.761894	0.0	57500	1699.9709873199463
23	-47.0	-47.0	-50.0	-8.809032	18.033766	2.7312632	-70.27745	-8.809096	0.0	60000	1775.3472604751587
24	-47.84	-47.84	-45.0	-8.958205	18.21683	5.477127	-64.10104	-8.956636	0.1	62500	1849.4802315235138
25	-48.0	-48.0	-45.0	-9.034048	18.325077	1.9295483	-66.11651	-9.0340805	0.1	65000	1922.8407793045044
