Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-48.5	-48.5	-46.666668	-1.0717274	1.8388405	1.2399892	-22.161554	-1.0717812	0.06666667	2500	65.02514815330505
1	-48.666668	-48.666668	-48.333332	-2.2968159	4.4660773	3.9447803	-40.030872	-2.29682	0.033333335	5000	121.90991735458374
2	-48.0	-48.0	-50.0	-3.3874629	6.7845864	1.6754419	-54.47333	-3.3874795	0.0	7500	183.33135867118835
3	-48.833332	-48.833332	-50.0	-4.3291473	8.7293005	5.698271	-58.881714	-4.3291626	0.0	10000	255.8635606765747
4	-48.053333	-48.053333	-46.666668	-5.114902	10.379187	2.9385755	-65.353195	-5.1149426	0.06666667	12500	330.3516192436218
5	-48.49	-48.49	-49.166668	-5.7681656	11.734108	5.075137	-61.66502	-5.7681646	0.016666668	15000	403.1269133090973
6	-48.253334	-48.253334	-50.0	-6.329394	12.903671	2.8080578	-68.225555	-6.3294153	0.0	17500	476.1040244102478
7	-47.7	-47.7	-49.933334	-6.823164	13.906188	5.61303	-71.86998	-6.823142	0.0	20000	548.6025350093842
8	-48.77	-48.77	-49.166668	-7.1915298	14.691625	3.6280398	-60.51474	-7.1914897	0.016666668	22500	620.056075334549
9	-47.833332	-47.833332	-49.166668	-7.566994	15.408697	4.5687566	-65.939995	-7.566889	0.016666668	25000	693.8723073005676
10	-48.493332	-48.493332	-47.566666	-7.8603606	15.979668	17.480951	-75.23831	-7.860314	0.05	27500	766.7418911457062
11	-48.633335	-48.633335	-49.166668	-8.142699	16.482983	5.9228983	-79.209946	-8.142655	0.016666668	30000	841.3513638973236
12	-46.916668	-46.916668	-49.933334	-8.34999	16.862732	4.6984553	-72.585686	-8.350049	0.0	32500	914.1134912967682
13	-49.146667	-49.146667	-47.5	-8.5087185	17.166153	4.3878007	-70.989265	-8.508654	0.05	35000	986.8767287731171
14	-48.766666	-48.766666	-48.333332	-8.653605	17.422773	13.48611	-81.122604	-8.653734	0.033333335	37500	1059.2644817829132
