Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-49.0	-49.0	-50.0	-1.2322489	1.9128836	0.94838226	-16.433222	-1.2318077	0.0	2500	72.48938989639282
1	-48.0	-48.0	-45.0	-2.378837	4.5914326	1.5434403	-57.953148	-2.3790808	0.1	5000	148.5192630290985
2	-47.0	-47.0	-50.0	-3.4622903	6.9691854	0.8609259	-52.693493	-3.4626806	0.0	7500	221.7593958377838
3	-50.0	-50.0	-45.0	-4.417504	8.940047	1.0273618	-53.614475	-4.4170694	0.1	10000	295.006564617157
4	-50.0	-50.0	-50.0	-5.3059316	10.696371	1.1275548	-56.203728	-5.3053207	0.0	12500	367.18475914001465
5	-49.0	-49.0	-50.0	-5.8817286	11.950804	1.6776638	-53.381523	-5.8804173	0.0	15000	439.42033076286316
6	-49.0	-49.0	-45.0	-6.4045777	13.062644	1.5208361	-64.2475	-6.4046774	0.1	17500	511.7984607219696
7	-50.0	-50.0	-45.0	-6.876472	13.979764	1.5918019	-54.33916	-6.875616	0.1	20000	583.0507035255432
8	-43.36	-43.36	-50.0	-7.1331863	14.629259	1.4006648	-57.35469	-7.133566	0.0	22500	657.6726222038269
9	-49.0	-49.0	-50.0	-7.3628917	15.248427	2.420483	-61.344296	-7.3630943	0.0	25000	728.5740447044373
10	-47.76	-47.76	-50.0	-7.775474	15.998124	2.3930275	-56.89291	-7.775577	0.0	27500	801.2864451408386
11	-49.0	-49.0	-45.0	-8.048446	16.556967	2.7508721	-58.13477	-8.04847	0.1	30000	874.071692943573
12	-47.0	-47.0	-50.0	-8.251467	16.976303	2.5946016	-61.314857	-8.251797	0.0	32500	946.3349239826202
13	-48.0	-48.0	-40.0	-8.42698	17.302462	2.5229502	-56.76486	-8.426791	0.2	35000	1019.3732988834381
14	-47.0	-47.0	-50.0	-8.4686775	17.417135	2.4530041	-62.61827	-8.468983	0.0	37500	1091.816296339035
15	-47.54	-47.54	-45.0	-8.594234	17.547348	3.003208	-62.359673	-8.594455	0.1	40000	1166.1568830013275
16	-47.0	-47.0	-50.0	-8.620351	17.613516	2.82854	-57.65909	-8.620445	0.0	42500	1236.77024435997
17	-49.0	-49.0	-50.0	-8.639871	17.662733	3.5632865	-62.13553	-8.640379	0.0	45000	1310.4047000408173
18	-48.0	-48.0	-50.0	-8.646203	17.746077	2.7282174	-63.26893	-8.646826	0.0	47500	1381.6712012290955
19	-49.0	-49.0	-48.9	-8.702623	17.841337	3.517637	-58.675003	-8.703268	0.0	50000	1452.570437669754
20	-47.0	-47.0	-50.0	-8.791892	17.968098	5.2599087	-58.805096	-8.793181	0.0	52500	1524.8009684085846
21	-48.0	-48.0	-50.0	-8.868076	18.053234	4.10156	-60.812904	-8.8686285	0.0	55000	1595.2380509376526
22	-50.0	-50.0	-40.0	-8.865739	18.068726	4.0747576	-56.87225	-8.866068	0.2	57500	1664.7532827854156
23	-47.32	-47.32	-45.0	-8.871263	18.078808	3.8294559	-65.34448	-8.87254	0.1	60000	1735.5753874778748
24	-48.0	-48.0	-50.0	-8.933419	18.144773	14.375596	-60.865417	-8.932647	0.0	62500	1806.3206639289856
25	-50.0	-50.0	-45.0	-8.98121	18.188776	4.453974	-57.15354	-8.981337	0.1	65000	1876.8605270385742
26	-49.0	-49.0	-45.0	-8.992689	18.180635	5.822799	-60.90107	-8.993345	0.1	67500	1949.7893693447113
27	-45.94	-45.94	-50.0	-9.001452	18.191141	4.0039043	-65.60852	-9.001177	0.0	70000	2020.3969950675964
28	-49.0	-49.0	-47.7	-9.020334	18.198778	4.086618	-61.019356	-9.020887	0.0	72500	2089.8695254325867
29	-47.16	-47.16	-50.0	-9.031797	18.191372	5.352439	-69.228004	-9.030311	0.0	75000	2162.1731510162354
30	-49.0	-49.0	-50.0	-8.926136	18.049335	4.0673466	-59.195408	-8.925974	0.0	77500	2229.886028289795
31	-50.0	-50.0	-45.0	-9.081852	18.17294	4.584029	-68.70026	-9.083495	0.1	80000	2303.3411321640015
32	-50.0	-50.0	-45.0	-9.059933	18.173822	5.2009096	-59.196163	-9.060916	0.1	82500	2373.4197251796722
33	-45.54	-45.54	-48.0	-9.116732	18.250471	5.7748756	-59.099358	-9.117441	0.1	85000	2444.3275756835938
34	-47.52	-47.52	-50.0	-9.083636	18.248276	4.1754684	-65.69048	-9.0842	0.0	87500	2515.269750595093
35	-50.0	-50.0	-45.0	-9.234699	18.383282	3.147288	-62.652687	-9.235122	0.1	90000	2585.4015963077545
36	-47.04	-47.04	-50.0	-9.17054	18.337439	5.683975	-59.064438	-9.170509	0.0	92500	2657.6165764331818
37	-49.48	-49.48	-35.0	-9.204266	18.38777	5.3567214	-61.455177	-9.205211	0.3	95000	2728.52628326416
38	-46.8	-46.8	-50.0	-9.207402	18.366728	4.282907	-58.410824	-9.207828	0.0	97500	2800.3298745155334
39	-49.9	-49.9	-39.8	-9.193158	18.319674	4.4505024	-62.76552	-9.192916	0.2	100000	2868.2350635528564
40	-48.24	-48.24	-50.0	-9.16921	18.272984	5.155029	-58.32228	-9.168986	0.0	102500	2939.560788154602
41	-47.0	-47.0	-50.0	-9.172046	18.284344	6.6872296	-69.34538	-9.1711035	0.0	105000	3008.5569024086
42	-46.42	-46.42	-50.0	-9.168054	18.316244	5.031188	-60.914623	-9.166863	0.0	107500	3080.6967730522156
43	-46.06	-46.06	-50.0	-9.197231	18.337315	3.399682	-58.144817	-9.197809	0.0	110000	3151.8940711021423
44	-49.0	-49.0	-50.0	-9.180772	18.325356	6.274777	-62.61642	-9.180061	0.0	112500	3220.545800447464
45	-46.5	-46.5	-50.0	-9.216521	18.347921	4.135165	-65.25185	-9.21658	0.0	115000	3289.8800749778748
46	-47.36	-47.36	-50.0	-9.176887	18.318125	4.3094816	-62.457947	-9.177907	0.0	117500	3359.1295619010925
47	-47.62	-47.62	-45.0	-9.289569	18.403528	9.360914	-59.152714	-9.29002	0.1	120000	3429.006071329117
48	-50.0	-50.0	-45.0	-9.228152	18.344189	4.8581724	-60.671818	-9.228309	0.1	122500	3499.195447206497
49	-46.88	-46.88	-41.2	-9.303299	18.371277	6.0083714	-58.888306	-9.302984	0.2	125000	3569.428121805191
50	-48.74	-48.74	-49.1	-9.260708	18.313692	7.9361553	-63.299294	-9.261838	0.1	127500	3639.54101729393
51	-46.88	-46.88	-45.0	-9.120584	18.138659	6.188191	-60.759163	-9.120844	0.1	130000	3707.1545989513397
52	-47.0	-47.0	-45.0	-9.107982	18.099762	7.762972	-59.851482	-9.10799	0.1	132500	3776.040373325348
53	-48.46	-48.46	-50.0	-9.108959	18.091074	4.8868637	-62.68727	-9.109084	0.0	135000	3844.4425525665283
54	-48.42	-48.42	-45.0	-9.033201	17.98541	3.3684845	-63.478752	-9.032224	0.1	137500	3914.672000646591
55	-47.26	-47.26	-50.0	-9.089664	18.016714	5.260979	-58.532402	-9.091053	0.0	140000	3984.368723630905
56	-43.44	-43.44	-50.0	-9.036478	17.950607	4.073504	-65.33907	-9.036966	0.0	142500	4054.333484172821
57	-50.0	-50.0	-50.0	-9.0414505	17.908186	4.1768713	-67.87831	-9.040193	0.0	145000	4122.918849945068
58	-48.18	-48.18	-46.6	-8.991954	17.800005	4.50918	-57.785263	-8.992404	0.1	147500	4192.310680627823
59	-46.78	-46.78	-50.0	-8.997198	17.785284	4.0182447	-61.578865	-8.99665	0.0	150000	4259.586786985397
60	-44.7	-44.7	-49.8	-8.959881	17.734016	4.795142	-60.25049	-8.959308	0.0	152500	4329.631377220154
61	-47.38	-47.38	-46.5	-8.942694	17.693596	7.171063	-60.18137	-8.941207	0.1	155000	4399.7932550907135
62	-45.2	-45.2	-45.8	-8.88124	17.54595	5.753204	-64.88762	-8.880603	0.2	157500	4468.463052988052
63	-49.36	-49.36	-45.8	-8.78724	17.400375	4.595748	-60.762215	-8.786844	0.1	160000	4536.2723734378815
64	-48.66	-48.66	-45.0	-8.796469	17.321127	8.20121	-60.516453	-8.796385	0.1	162500	4605.559416055679
65	-47.94	-47.94	-34.899998	-8.774318	17.28979	8.679146	-61.897324	-8.77318	0.4	165000	4676.240914106369
66	-48.48	-48.48	-46.0	-8.785676	17.277147	6.136031	-63.775085	-8.786088	0.1	167500	4744.779895067215
67	-47.82	-47.82	-43.2	-8.715609	17.17088	3.4964771	-64.336655	-8.714346	0.2	170000	4814.405165195465
68	-46.62	-46.62	-46.100002	-8.656834	17.076843	4.725026	-59.49334	-8.65682	0.1	172500	4881.792435646057
69	-48.82	-48.82	-40.8	-8.613426	16.963446	7.922286	-58.107334	-8.613898	0.2	175000	4949.939251422882
70	-48.14	-48.14	-45.7	-8.574701	16.87305	3.683445	-60.510242	-8.575675	0.1	177500	5018.113237857819
71	-46.56	-46.56	-45.899998	-8.560968	16.83653	4.9023247	-61.455173	-8.560733	0.1	180000	5083.520215272903
72	-44.72	-44.72	-46.100002	-8.49925	16.750837	5.9460077	-63.057922	-8.499073	0.1	182500	5152.362288475037
73	-47.88	-47.88	-44.8	-8.566909	16.796566	4.590726	-64.28487	-8.566555	0.1	185000	5218.781724691391
74	-47.62	-47.62	-46.2	-8.558168	16.76184	5.1817083	-69.248856	-8.558791	0.1	187500	5286.967848539352
75	-45.04	-45.04	-41.3	-8.433686	16.59359	5.7012753	-66.89797	-8.433404	0.2	190000	5355.62288069725
76	-45.98	-45.98	-45.600002	-8.212639	16.313335	6.434416	-63.801792	-8.213622	0.1	192500	5424.180813550949
77	-44.26	-44.26	-49.2	-8.259386	16.283365	3.9962416	-60.112713	-8.260903	0.0	195000	5489.502946615219
78	-46.4	-46.4	-49.7	-8.208503	16.240374	7.4439187	-63.033558	-8.210511	0.0	197500	5557.375517845154
79	-47.76	-47.76	-40.899998	-8.22934	16.247896	3.5507038	-61.07672	-8.229362	0.2	200000	5626.403970956802
80	-45.72	-45.72	-46.7	-8.288209	16.342829	10.245157	-63.25809	-8.288322	0.1	202500	5692.832189321518
81	-46.46	-46.46	-50.0	-8.240393	16.249697	5.7571125	-57.897003	-8.23998	0.0	205000	5760.601800441742
82	-49.84	-49.84	-36.899998	-8.249455	16.262959	5.78292	-64.00796	-8.249259	0.3	207500	5827.5640614032745
83	-46.1	-46.1	-45.0	-8.224573	16.225111	8.821543	-60.371952	-8.225846	0.2	210000	5895.578987836838
84	-46.18	-46.18	-42.2	-8.199536	16.172876	2.4023252	-62.583374	-8.200424	0.2	212500	5960.5885014534
85	-45.4	-45.4	-42.399998	-8.197874	16.133612	4.98134	-61.391525	-8.196505	0.2	215000	6029.619078874588
86	-46.0	-46.0	-47.2	-8.23483	16.146557	5.4742866	-62.899227	-8.234859	0.1	217500	6097.891919136047
87	-45.02	-45.02	-46.3	-8.154577	16.026752	6.0346956	-70.64291	-8.154456	0.1	220000	6163.006969690323
88	-46.1	-46.1	-45.399998	-8.173691	16.000423	4.0079284	-59.241776	-8.172392	0.1	222500	6232.67636346817
89	-45.3	-45.3	-45.8	-8.128878	15.923461	2.709289	-60.02333	-8.126777	0.1	225000	6300.302626132965
90	-46.68	-46.68	-38.100002	-8.189437	15.959903	3.0033126	-58.770638	-8.191086	0.3	227500	6366.782584190369
91	-45.5	-45.5	-42.0	-8.159008	15.911115	6.7613606	-60.43377	-8.159468	0.2	230000	6431.956467151642
92	-47.54	-47.54	-43.7	-8.23601	15.983413	3.389439	-61.82885	-8.23578	0.1	232500	6498.1527218818665
93	-41.86	-41.86	-43.5	-8.199844	15.910371	4.831536	-61.648327	-8.19955	0.2	235000	6562.601954698563
94	-46.08	-46.08	-49.2	-8.215857	15.894543	8.654386	-62.599167	-8.214566	0.0	237500	6630.255170106888
95	-45.3	-45.3	-36.600002	-8.22486	15.887638	3.8363938	-61.195732	-8.22533	0.4	240000	6697.23570895195
96	-45.6	-45.6	-49.4	-8.170299	15.839352	9.066215	-61.82347	-8.171136	0.0	242500	6762.68927025795
97	-44.44	-44.44	-36.0	-8.193087	15.839357	4.7683	-61.675114	-8.19334	0.4	245000	6830.13707947731
98	-45.16	-45.16	-49.3	-8.141366	15.776292	5.1693954	-65.566154	-8.141967	0.0	247500	6897.615640640259
99	-44.94	-44.94	-45.600002	-8.196297	15.806453	5.0442142	-61.57771	-8.196121	0.1	250000	6965.265579462051
100	-43.94	-43.94	-42.399998	-8.329218	15.866048	5.621375	-65.99945	-8.330411	0.3	252500	7033.433509111404
101	-44.62	-44.62	-42.7	-8.301944	15.820928	3.8234642	-60.850243	-8.303375	0.3	255000	7103.314915418625
102	-42.44	-42.44	-40.7	-8.244231	15.720962	2.6526728	-63.088135	-8.243606	0.2	257500	7170.272951602936
103	-42.94	-42.94	-44.899998	-8.261725	15.67568	2.9937782	-68.09821	-8.262353	0.2	260000	7237.95331120491
104	-45.7	-45.7	-34.5	-8.196227	15.595009	6.144004	-62.462234	-8.196018	0.4	262500	7304.400810003281
105	-40.72	-40.72	-46.3	-8.137312	15.5156975	3.6768768	-71.205284	-8.136988	0.2	265000	7370.845082759857
106	-46.14	-46.14	-50.0	-8.134483	15.4732895	4.170644	-59.413074	-8.134987	0.0	267500	7437.361263513565
107	-47.34	-47.34	-33.5	-8.082016	15.39281	6.4574175	-64.34544	-8.080857	0.4	270000	7504.123490571976
108	-47.24	-47.24	-41.100002	-8.065792	15.333842	3.1597648	-63.116333	-8.066122	0.3	272500	7570.983570575714
109	-44.94	-44.94	-42.399998	-8.1097555	15.38386	9.860375	-67.524895	-8.111358	0.2	275000	7636.099634647369
110	-43.7	-43.7	-41.8	-8.187419	15.421288	6.4272356	-62.279484	-8.189564	0.2	277500	7705.2302532196045
111	-43.76	-43.76	-42.399998	-8.057688	15.287571	5.406919	-67.42883	-8.057442	0.2	280000	7771.716654539108
112	-38.56	-38.56	-38.600002	-8.043278	15.197036	5.089097	-58.859646	-8.044413	0.3	282500	7839.712691068649
113	-41.76	-41.76	-36.8	-8.043382	15.166139	4.2605762	-63.25147	-8.045044	0.4	285000	7907.945788860321
114	-41.26	-41.26	-49.9	-8.085463	15.198593	4.2704945	-64.35394	-8.085014	0.0	287500	7976.613316297531
115	-42.76	-42.76	-38.8	-7.9606724	15.050472	5.0397453	-62.054024	-7.959877	0.3	290000	8044.122070550919
116	-44.86	-44.86	-44.399998	-8.036011	15.098162	4.6639633	-67.727425	-8.0385065	0.2	292500	8109.003589630127
117	-40.98	-40.98	-33.399998	-8.060719	15.06922	13.1703	-61.774815	-8.060813	0.5	295000	8175.522356748581
118	-46.2	-46.2	-40.600002	-8.059006	15.074841	4.923482	-63.876102	-8.058841	0.4	297500	8242.122000217438
119	-36.38	-36.38	-39.8	-7.9877963	14.996622	4.30737	-60.21314	-7.9876385	0.2	300000	8311.576574087143
120	-45.0	-45.0	-31.5	-7.955875	14.9250345	3.863758	-63.786148	-7.9553785	0.5	302500	8377.84046959877
121	-42.26	-42.26	-34.7	-7.9800277	14.902396	4.355664	-66.006004	-7.9809213	0.4	305000	8443.41098022461
122	-39.9	-39.9	-43.3	-7.9612956	14.8747835	5.864196	-63.07103	-7.960104	0.2	307500	8508.731858968735
123	-41.56	-41.56	-29.2	-7.920495	14.807989	6.640472	-64.05774	-7.920003	0.5	310000	8574.631488084793
124	-43.28	-43.28	-49.3	-7.855986	14.698894	5.4053745	-59.88233	-7.854345	0.0	312500	8641.381978273392
125	-44.42	-44.42	-23.199999	-7.934207	14.708609	4.2439547	-57.81269	-7.9323726	0.7	315000	8707.746109962463
126	-41.98	-41.98	-45.399998	-7.8285046	14.5243435	6.450715	-70.41972	-7.8266826	0.2	317500	8774.393465042114
127	-41.98	-41.98	-36.0	-7.8041406	14.445889	5.905895	-69.221176	-7.80247	0.3	320000	8840.24043917656
128	-42.76	-42.76	-37.600002	-7.7110662	14.218309	5.061735	-64.39364	-7.7139206	0.4	322500	8909.123846292496
129	-40.64	-40.64	-38.100002	-7.6635118	14.119191	5.365409	-67.14932	-7.666971	0.4	325000	8976.449445724487
130	-40.88	-40.88	-35.899998	-7.62002	14.028436	4.8476534	-61.016563	-7.61788	0.5	327500	9043.982656955719
131	-42.96	-42.96	-31.0	-7.5734487	13.835618	3.151977	-62.971184	-7.574088	0.6	330000	9110.290222167969
132	-42.52	-42.52	-35.0	-7.6145463	13.859688	5.4525084	-58.63554	-7.615431	0.4	332500	9177.703270435333
133	-41.88	-41.88	-39.3	-7.6282105	13.844535	4.556079	-63.542522	-7.6287847	0.3	335000	9246.351217746735
134	-44.04	-44.04	-26.4	-7.6175327	13.888258	5.2471676	-69.04023	-7.6164103	0.7	337500	9313.101438522339
135	-39.82	-39.82	-26.1	-7.654322	13.921869	5.5486727	-63.729877	-7.653911	0.7	340000	9380.641586065292
136	-41.14	-41.14	-42.3	-7.5681424	13.830929	9.33333	-60.99535	-7.567423	0.2	342500	9447.501084566116
137	-39.7	-39.7	-30.9	-7.680217	13.920409	5.147173	-71.84885	-7.6816807	0.5	345000	9516.981547355652
138	-42.42	-42.42	-32.5	-7.6783338	13.889924	6.3489094	-64.3675	-7.678685	0.4	347500	9583.938856124878
139	-38.36	-38.36	-26.9	-7.724483	13.931325	4.949424	-61.688683	-7.725678	0.5	350000	9651.662575483322
140	-42.54	-42.54	-36.8	-7.7094555	13.863853	21.680618	-71.24072	-7.7084723	0.4	352500	9719.047261238098
141	-42.08	-42.08	-29.1	-7.689723	13.829626	4.615097	-58.543655	-7.6905055	0.5	355000	9786.409659147263
142	-41.0	-41.0	-40.899998	-7.776488	13.910108	5.6704116	-70.7626	-7.7774568	0.3	357500	9856.610019922256
143	-43.68	-43.68	-37.5	-7.7423997	13.86473	6.0033336	-65.34284	-7.7428255	0.3	360000	9922.329269170761
144	-42.34	-42.34	-39.0	-7.71356	13.84929	5.5904922	-63.858963	-7.7127256	0.2	362500	9991.880108833313
145	-45.48	-45.48	-19.800001	-7.7812734	13.939044	10.101826	-59.053368	-7.78036	0.8	365000	10058.92690730095
146	-43.64	-43.64	-22.5	-7.774195	13.94629	6.002959	-60.74233	-7.774403	0.7	367500	10127.331147909164
