Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-44.0	-44.0	-50.0	-1.053133	1.883045	0.74182206	-14.012236	-1.0531194	0.0	2500	54.06592869758606
1	-46.0	-46.0	-45.0	-2.1314244	4.254874	0.5330047	-24.189955	-2.1310496	0.1	5000	107.53598523139954
2	-46.66	-46.66	-45.0	-3.0346725	6.2401304	2.0986876	-164.86421	-3.0362942	0.1	7500	161.70595383644104
3	-45.72	-45.72	-50.0	-3.9110727	8.06015	2.185198	-40.67335	-3.910953	0.0	10000	215.34024310112
4	-49.0	-49.0	-40.0	-4.7069244	9.747537	1.4849837	-50.559998	-4.706544	0.2	12500	270.12713599205017
5	-48.0	-48.0	-50.0	-5.40409	11.18876	3.0013256	-53.83799	-5.4040365	0.0	15000	324.28619265556335
6	-48.76	-48.76	-50.0	-6.002257	12.411553	2.5984979	-55.286243	-6.001173	0.0	17500	377.3973319530487
7	-49.0	-49.0	-50.0	-6.4832563	13.398325	2.2015743	-60.56777	-6.4829855	0.0	20000	431.7595410346985
8	-47.08	-47.08	-45.0	-6.8689117	14.218982	2.7787619	-56.014065	-6.8691344	0.1	22500	484.91669058799744
9	-48.0	-48.0	-45.0	-7.1563096	14.912793	2.021449	-59.468124	-7.1564755	0.1	25000	539.2511241436005
10	-47.28	-47.28	-50.0	-7.5206914	15.605414	2.288243	-63.047287	-7.5201983	0.0	27500	593.372743844986
11	-45.0	-45.0	-45.0	-7.779219	16.09463	1.7468678	-62.850307	-7.780097	0.1	30000	647.3665833473206
12	-49.0	-49.0	-50.0	-8.01908	16.592222	1.8600236	-61.168613	-8.018894	0.0	32500	701.4140813350677
13	-47.0	-47.0	-40.0	-8.320037	17.12423	2.4307818	-58.59943	-8.320205	0.2	35000	754.4909076690674
14	-48.72	-48.72	-49.6	-8.465456	17.477713	2.6752338	-67.4502	-8.465599	0.0	37500	808.3870675563812
15	-45.0	-45.0	-50.0	-8.702726	17.832693	2.2884824	-63.223537	-8.702885	0.0	40000	862.5920832157135
16	-45.0	-45.0	-50.0	-8.761647	18.000214	2.1421409	-59.073853	-8.762225	0.0	42500	917.3429369926453
17	-46.26	-46.26	-45.0	-8.815078	18.104677	2.0100718	-59.6734	-8.814958	0.1	45000	970.7536005973816
18	-45.88	-45.88	-50.0	-8.8075285	18.160702	2.42594	-62.62107	-8.807486	0.0	47500	1024.5639190673828
19	-49.0	-49.0	-50.0	-8.900352	18.2748	3.2690017	-61.382797	-8.899995	0.0	50000	1079.6723883152008
20	-48.62	-48.62	-50.0	-9.015069	18.418896	2.4476767	-62.37393	-9.013617	0.0	52500	1132.2450497150421
21	-46.88	-46.88	-50.0	-9.110707	18.54953	2.391719	-57.92066	-9.110531	0.0	55000	1186.8134219646454
22	-49.0	-49.0	-30.0	-9.146587	18.613539	2.5073519	-60.90523	-9.146806	0.4	57500	1240.5728695392609
23	-47.0	-47.0	-50.0	-9.146841	18.658934	6.065083	-72.615585	-9.145386	0.0	60000	1294.7014462947845
24	-43.32	-43.32	-45.0	-9.178637	18.716532	7.6283154	-59.610092	-9.1782675	0.1	62500	1348.0085287094116
25	-48.0	-48.0	-50.0	-9.231469	18.787762	3.1321263	-60.89924	-9.232597	0.0	65000	1402.5096228122711
26	-48.0	-48.0	-50.0	-9.228997	18.78648	3.0004823	-59.47239	-9.229272	0.0	67500	1457.0992171764374
27	-46.36	-46.36	-45.0	-9.240352	18.80575	2.433553	-57.909718	-9.240228	0.1	70000	1510.1240673065186
28	-46.0	-46.0	-35.0	-9.226113	18.807167	7.8256636	-61.39782	-9.226071	0.3	72500	1564.5209186077118
29	-47.0	-47.0	-50.0	-9.253726	18.827063	4.2769933	-59.9709	-9.254029	0.0	75000	1618.3338975906372
30	-48.38	-48.38	-45.0	-9.206596	18.79247	3.3877811	-59.599495	-9.206808	0.1	77500	1671.8886485099792
31	-49.0	-49.0	-45.0	-9.308666	18.886206	3.4704714	-59.608925	-9.308781	0.1	80000	1723.5477349758148
32	-48.0	-48.0	-49.7	-9.2767725	18.86672	3.521402	-59.314568	-9.275827	0.0	82500	1777.7300066947937
33	-48.0	-48.0	-50.0	-9.353376	18.942696	4.0068684	-59.759804	-9.352303	0.0	85000	1831.7753088474274
34	-45.88	-45.88	-45.0	-9.323037	18.92136	2.5764606	-59.713356	-9.322577	0.1	87500	1884.4562275409698
35	-47.5	-47.5	-50.0	-9.429813	19.016678	4.060897	-58.346928	-9.430161	0.0	90000	1938.1932141780853
36	-47.0	-47.0	-40.0	-9.324647	18.916708	11.196353	-62.47465	-9.324069	0.2	92500	1992.5029275417328
37	-47.0	-47.0	-50.0	-9.342322	18.933798	7.9316673	-60.431797	-9.342936	0.0	95000	2046.86465883255
38	-46.0	-46.0	-50.0	-9.378788	18.950354	4.30581	-60.675865	-9.379378	0.0	97500	2100.5838882923126
39	-48.0	-48.0	-40.0	-9.335608	18.90233	4.729885	-57.691273	-9.336206	0.2	100000	2153.7618057727814
40	-47.76	-47.76	-50.0	-9.304169	18.874601	3.8751502	-60.939846	-9.304143	0.0	102500	2207.4674084186554
41	-46.04	-46.04	-45.0	-9.3407955	18.93396	3.0837126	-59.54058	-9.342216	0.1	105000	2261.106260538101
42	-47.66	-47.66	-40.0	-9.329963	18.933142	8.188271	-60.15077	-9.329106	0.2	107500	2315.377547979355
43	-47.12	-47.12	-50.0	-9.338344	18.93814	5.550448	-62.454865	-9.338559	0.0	110000	2368.0626299381256
44	-47.32	-47.32	-40.0	-9.328335	18.954037	4.2345123	-59.113064	-9.328459	0.2	112500	2421.6347382068634
45	-46.7	-46.7	-45.0	-9.387081	19.0028	7.424292	-59.664234	-9.387783	0.1	115000	2474.3889095783234
46	-45.58	-45.58	-43.7	-9.315768	18.928223	5.3147006	-55.502598	-9.315118	0.2	117500	2529.0834896564484
47	-47.02	-47.02	-45.0	-9.418879	19.020653	5.738803	-57.6434	-9.41808	0.1	120000	2582.7601857185364
48	-45.0	-45.0	-50.0	-9.324922	18.9414	6.0335183	-57.416874	-9.325486	0.0	122500	2635.111574411392
49	-48.44	-48.44	-45.3	-9.418653	19.021719	4.311847	-59.763184	-9.41914	0.1	125000	2689.4513647556305
50	-46.98	-46.98	-50.0	-9.390371	19.00449	6.720022	-63.765194	-9.390028	0.0	127500	2742.6111307144165
51	-45.84	-45.84	-50.0	-9.312459	18.941465	5.03588	-58.483547	-9.3119	0.0	130000	2795.852269887924
52	-48.0	-48.0	-40.0	-9.335148	18.941534	3.542027	-57.70362	-9.334167	0.2	132500	2849.2108623981476
53	-47.0	-47.0	-45.0	-9.366291	18.979326	8.604167	-60.36494	-9.366377	0.1	135000	2902.155510663986
54	-47.06	-47.06	-44.8	-9.330598	18.953583	6.6591105	-60.75332	-9.330432	0.1	137500	2956.2337353229523
55	-45.0	-45.0	-40.0	-9.370105	18.994095	3.2396882	-57.426716	-9.370706	0.2	140000	3009.408128976822
56	-42.14	-42.14	-50.0	-9.298905	18.940807	5.48949	-63.730064	-9.298505	0.0	142500	3064.2858786582947
57	-42.38	-42.38	-50.0	-9.364802	18.993692	6.646166	-62.56569	-9.364439	0.0	145000	3117.5473976135254
58	-47.4	-47.4	-50.0	-9.3789625	19.005209	3.4041758	-78.91302	-9.378001	0.0	147500	3171.545004606247
59	-45.0	-45.0	-45.0	-9.360352	18.976871	7.4613543	-62.520943	-9.359809	0.1	150000	3224.8664405345917
60	-46.14	-46.14	-50.0	-9.300252	18.924665	14.124302	-58.99977	-9.302536	0.0	152500	3278.872610092163
61	-46.54	-46.54	-40.0	-9.304193	18.914684	6.372506	-59.74469	-9.304661	0.2	155000	3332.47420501709
62	-47.0	-47.0	-45.0	-9.352905	18.962997	11.588367	-59.90965	-9.353332	0.1	157500	3385.814096927643
63	-46.72	-46.72	-50.0	-9.270345	18.87837	7.6704035	-69.43763	-9.270692	0.0	160000	3439.591453075409
64	-45.38	-45.38	-50.0	-9.341965	18.92371	7.6214323	-66.97861	-9.342333	0.0	162500	3492.7533283233643
65	-50.0	-50.0	-45.0	-9.3496065	18.926758	5.693371	-63.93736	-9.3498955	0.1	165000	3546.9887635707855
66	-47.0	-47.0	-40.0	-9.388508	18.96431	3.542257	-58.62376	-9.387629	0.2	167500	3599.766893386841
67	-47.72	-47.72	-50.0	-9.364574	18.966887	4.1657386	-63.188248	-9.364781	0.0	170000	3654.266893863678
68	-39.08	-39.08	-50.0	-9.301767	18.924715	7.6951184	-56.64488	-9.300492	0.0	172500	3708.6128058433533
69	-46.0	-46.0	-50.0	-9.342439	18.970474	6.2949667	-76.96934	-9.342396	0.0	175000	3761.761494874954
70	-44.84	-44.84	-45.0	-9.406237	19.032925	5.8201094	-64.270226	-9.40783	0.1	177500	3815.2577996253967
71	-45.56	-45.56	-45.0	-9.383814	19.01901	5.713964	-57.661285	-9.38358	0.1	180000	3867.9366426467896
72	-49.28	-49.28	-40.0	-9.274634	18.906855	6.458906	-68.611595	-9.27469	0.2	182500	3922.509874343872
73	-49.2	-49.2	-40.0	-9.326602	18.937191	5.906297	-62.074314	-9.326872	0.2	185000	3975.0238332748413
74	-41.66	-41.66	-50.0	-9.370471	18.961716	3.926479	-59.562107	-9.36967	0.0	187500	4029.260171890259
75	-46.1	-46.1	-45.0	-9.324538	18.933168	10.880365	-62.917828	-9.32403	0.1	190000	4083.600112438202
76	-46.26	-46.26	-50.0	-9.203447	18.83894	5.665748	-62.841915	-9.202108	0.0	192500	4137.0349888801575
77	-46.46	-46.46	-45.0	-9.31776	18.917397	4.5269737	-56.99267	-9.317107	0.1	195000	4191.058164358139
78	-46.84	-46.84	-49.6	-9.228093	18.80816	5.8688736	-83.9999	-9.2287445	0.0	197500	4243.364273071289
79	-47.9	-47.9	-45.0	-9.206975	18.77233	5.695028	-57.925514	-9.206925	0.1	200000	4297.66312789917
80	-46.0	-46.0	-50.0	-9.242841	18.766857	3.9402077	-58.88354	-9.242771	0.0	202500	4350.579374790192
81	-48.0	-48.0	-50.0	-9.17193	18.657106	7.5904818	-65.73221	-9.171165	0.0	205000	4404.511112213135
82	-45.54	-45.54	-45.0	-9.200368	18.710396	4.244945	-60.430428	-9.201613	0.1	207500	4458.068717956543
83	-46.42	-46.42	-45.0	-9.22378	18.741152	3.2123816	-57.87866	-9.223841	0.1	210000	4510.571035385132
84	-47.5	-47.5	-45.0	-9.226677	18.731937	3.5569208	-59.821064	-9.226971	0.1	212500	4564.203990936279
85	-48.0	-48.0	-50.0	-9.228175	18.71924	3.2441974	-56.654842	-9.22803	0.0	215000	4617.043035268784
86	-47.3	-47.3	-49.0	-9.274215	18.753122	5.742081	-86.33779	-9.274287	0.1	217500	4672.740552186966
87	-48.0	-48.0	-45.0	-9.193265	18.661283	2.340878	-58.31792	-9.192397	0.1	220000	4725.928822040558
88	-47.46	-47.46	-40.0	-9.168954	18.613651	2.4546125	-63.71966	-9.169358	0.2	222500	4781.285131216049
89	-44.08	-44.08	-50.0	-9.148474	18.609354	5.065548	-59.337624	-9.1479845	0.0	225000	4834.570363521576
90	-45.0	-45.0	-45.0	-9.12402	18.571161	2.4215686	-64.02864	-9.123132	0.1	227500	4889.137178659439
91	-42.2	-42.2	-50.0	-9.021793	18.458712	3.5967426	-67.67547	-9.022364	0.0	230000	4943.705316066742
92	-42.5	-42.5	-45.0	-8.998096	18.413967	2.2398381	-67.34871	-8.998201	0.1	232500	4997.786894083023
93	-44.14	-44.14	-50.0	-8.957733	18.370056	3.2084434	-65.37635	-8.9575205	0.0	235000	5052.018272638321
94	-48.24	-48.24	-40.0	-8.998918	18.384241	3.0593116	-59.933945	-8.99784	0.2	237500	5104.8120992183685
95	-47.04	-47.04	-50.0	-9.014123	18.391825	3.099752	-61.22932	-9.013428	0.0	240000	5159.121382951736
96	-47.56	-47.56	-50.0	-8.964215	18.366503	2.83848	-61.379944	-8.963713	0.0	242500	5214.043364524841
97	-46.9	-46.9	-45.0	-9.043495	18.443155	4.272309	-60.046295	-9.043132	0.1	245000	5270.5586767196655
98	-42.82	-42.82	-42.8	-9.047993	18.47363	8.281515	-58.557735	-9.048081	0.2	247500	5325.633121967316
99	-46.18	-46.18	-46.5	-9.032072	18.453255	3.3048763	-58.223312	-9.032152	0.1	250000	5381.977740049362
100	-45.0	-45.0	-50.0	-9.078985	18.46738	2.4076674	-56.459324	-9.0789385	0.0	252500	5438.321907281876
101	-48.54	-48.54	-50.0	-8.972715	18.342987	4.8162208	-56.2763	-8.972846	0.0	255000	5492.669464826584
102	-46.38	-46.38	-50.0	-8.926462	18.264782	6.306696	-61.887806	-8.926439	0.0	257500	5548.972932100296
103	-48.06	-48.06	-40.0	-8.96467	18.26302	7.6125402	-66.677826	-8.9656105	0.2	260000	5605.773804664612
104	-45.32	-45.32	-45.0	-8.897715	18.19197	4.5319853	-61.806984	-8.897872	0.1	262500	5661.940125703812
105	-48.0	-48.0	-45.899998	-8.880212	18.177456	3.0159078	-64.78077	-8.8786125	0.1	265000	5717.053816318512
106	-43.24	-43.24	-45.0	-8.865289	18.131424	3.8261783	-63.063618	-8.864452	0.1	267500	5772.13702249527
107	-48.0	-48.0	-50.0	-8.817558	18.067873	3.4878745	-67.30375	-8.8171835	0.0	270000	5827.153618335724
108	-45.46	-45.46	-50.0	-8.759911	17.9771	1.9906218	-59.349247	-8.76005	0.0	272500	5883.490204572678
109	-45.62	-45.62	-50.0	-8.771137	17.978256	3.058539	-60.037056	-8.770273	0.0	275000	5937.830243587494
110	-46.8	-46.8	-50.0	-8.887068	18.067255	2.8056593	-59.784595	-8.8867655	0.0	277500	5994.681092262268
111	-45.88	-45.88	-42.399998	-8.79689	18.002127	2.3580592	-64.17564	-8.797551	0.2	280000	6049.8126928806305
112	-46.16	-46.16	-50.0	-8.88044	18.088478	3.24892	-58.20263	-8.880687	0.0	282500	6106.489790201187
113	-49.9	-49.9	-50.0	-8.889512	18.105265	3.5536351	-58.04715	-8.890231	0.0	285000	6161.733150243759
114	-46.94	-46.94	-45.0	-8.863414	18.09349	5.7322564	-58.457634	-8.86291	0.1	287500	6216.094724416733
115	-46.58	-46.58	-45.0	-8.754512	17.96678	3.2606804	-62.758945	-8.754955	0.1	290000	6271.265225172043
116	-42.68	-42.68	-49.6	-8.830853	18.044506	2.9269059	-62.089188	-8.830772	0.0	292500	6325.689521074295
117	-47.56	-47.56	-40.0	-8.877643	18.06902	3.6179888	-56.385983	-8.876757	0.2	295000	6381.528129816055
118	-44.7	-44.7	-44.899998	-8.918218	18.096348	2.8046503	-61.35243	-8.918691	0.1	297500	6435.295152425766
119	-45.58	-45.58	-40.2	-8.81316	17.976023	4.045942	-61.910324	-8.81392	0.2	300000	6490.774021148682
120	-45.72	-45.72	-48.4	-8.761151	17.89775	4.0334315	-60.757786	-8.760724	0.0	302500	6545.058691501617
121	-44.78	-44.78	-41.5	-8.809194	17.863113	3.9402637	-57.832348	-8.808636	0.2	305000	6601.129856824875
122	-44.32	-44.32	-50.0	-8.693182	17.72775	2.8722558	-61.758514	-8.693412	0.0	307500	6655.1139924526215
123	-46.96	-46.96	-50.0	-8.614421	17.540699	2.5897145	-59.56619	-8.615648	0.0	310000	6711.80873131752
124	-45.08	-45.08	-50.0	-8.545487	17.388454	3.1987317	-59.05628	-8.545738	0.0	312500	6766.46054983139
125	-45.54	-45.54	-50.0	-8.515637	17.27423	2.703919	-61.750355	-8.515161	0.0	315000	6819.384934425354
126	-44.38	-44.38	-50.0	-8.402149	17.121855	2.9916818	-60.64918	-8.401456	0.0	317500	6874.977976799011
127	-45.74	-45.74	-37.100002	-8.292286	16.95907	3.6866312	-57.69806	-8.294243	0.3	320000	6930.113267421722
128	-46.62	-46.62	-41.600002	-8.247481	16.877338	3.6118464	-59.608166	-8.248256	0.2	322500	6985.217371940613
129	-44.78	-44.78	-43.2	-8.2932825	16.907091	3.3005495	-58.42683	-8.292335	0.2	325000	7041.241935491562
130	-46.58	-46.58	-39.2	-8.332244	16.95143	3.4375587	-58.357204	-8.334028	0.2	327500	7097.532828330994
131	-46.04	-46.04	-44.8	-8.398884	17.018969	3.5298686	-61.898415	-8.398352	0.2	330000	7153.33068561554
132	-46.02	-46.02	-38.600002	-8.4515295	17.081768	2.8248544	-58.406075	-8.4517	0.3	332500	7208.47247171402
133	-48.32	-48.32	-42.3	-8.398433	17.021252	3.7815666	-59.38327	-8.398223	0.2	335000	7263.8700251579285
134	-44.62	-44.62	-46.5	-8.380832	16.999632	6.0344286	-58.45989	-8.379748	0.1	337500	7319.489315748215
135	-45.56	-45.56	-45.399998	-8.42666	17.027077	5.254368	-61.376244	-8.425745	0.1	340000	7374.614074230194
136	-46.5	-46.5	-38.2	-8.295758	16.859161	3.9487624	-62.08617	-8.296901	0.3	342500	7429.268219947815
137	-47.4	-47.4	-44.5	-8.296028	16.83244	4.433476	-59.2277	-8.298123	0.1	345000	7484.86745762825
138	-41.88	-41.88	-40.0	-8.263685	16.744453	3.8053036	-62.925774	-8.263156	0.2	347500	7539.849677324295
139	-44.58	-44.58	-42.5	-8.225061	16.60935	6.02949	-62.39745	-8.223386	0.2	350000	7596.7365119457245
