Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-49.0	-49.0	-50.0	-1.3513768	2.3435483	1.2156693	-13.863223	-1.3529277	0.0	2500	56.29776382446289
1	-49.08	-49.08	-50.0	-2.8161385	5.2251945	1.869452	-22.561783	-2.8158102	0.0	5000	112.43022108078003
2	-49.98	-49.98	-50.0	-4.030383	7.4150567	1.4003407	-33.94995	-4.029957	0.0	7500	168.20801615715027
3	-49.78	-49.78	-50.0	-5.139488	9.29746	2.5618453	-49.79591	-5.139168	0.0	10000	225.07237124443054
4	-50.0	-50.0	-50.0	-6.0294933	11.00724	2.0035157	-53.739464	-6.029285	0.0	12500	280.399799823761
5	-49.9	-49.9	-46.6	-6.6449146	12.189823	2.1701286	-54.035675	-6.6442685	0.0	15000	336.8708345890045
6	-50.0	-50.0	-50.0	-7.031217	12.999524	2.7363753	-56.315987	-7.0310125	0.0	17500	393.6386742591858
7	-49.5	-49.5	-50.0	-7.407646	13.714702	3.6577156	-60.461216	-7.4068313	0.0	20000	448.66102051734924
8	-49.4	-49.4	-50.0	-7.8893933	14.383301	2.5161138	-60.929996	-7.889633	0.0	22500	504.5677762031555
9	-49.76	-49.76	-46.100002	-8.14791	14.858439	3.8603282	-57.064014	-8.148198	0.1	25000	560.2187497615814
10	-49.5	-49.5	-48.2	-8.422363	15.3161	3.0070968	-74.24816	-8.42361	0.0	27500	616.1637268066406
11	-49.4	-49.4	-50.0	-8.612186	15.721014	3.2399907	-59.88662	-8.611947	0.0	30000	670.9096081256866
12	-49.8	-49.8	-49.9	-8.909605	16.217733	2.7324665	-59.316555	-8.908028	0.0	32500	726.0588908195496
13	-49.8	-49.8	-50.0	-9.164642	16.581606	4.2637444	-68.9546	-9.164243	0.0	35000	782.0301325321198
14	-49.94	-49.94	-49.5	-9.331394	16.829271	3.49724	-58.56603	-9.331581	0.0	37500	837.5342569351196
15	-49.82	-49.82	-48.4	-9.390561	16.859137	3.0085177	-63.612907	-9.390577	0.1	40000	893.1718428134918
16	-48.58	-48.58	-50.0	-9.567118	17.084799	6.027614	-66.484604	-9.565833	0.0	42500	946.9793441295624
17	-49.68	-49.68	-50.0	-9.674014	17.243496	5.04278	-68.18174	-9.672459	0.0	45000	1003.0728449821472
18	-48.42	-48.42	-49.9	-9.791925	17.382359	3.6643476	-71.70009	-9.791315	0.0	47500	1057.524706363678
19	-50.0	-50.0	-45.0	-9.9024105	17.445387	5.5578966	-65.44128	-9.901983	0.1	50000	1113.4821317195892
20	-49.78	-49.78	-49.7	-10.063606	17.616575	3.9216335	-62.607872	-10.062408	0.0	52500	1169.1753208637238
21	-48.9	-48.9	-50.0	-10.091706	17.623074	3.5109189	-60.099964	-10.092842	0.0	55000	1225.3758528232574
22	-49.0	-49.0	-49.8	-10.156971	17.64186	10.531686	-65.54902	-10.156746	0.0	57500	1280.745536327362
23	-49.68	-49.68	-49.7	-10.307575	17.777197	5.809125	-59.688057	-10.306263	0.0	60000	1336.3213427066803
24	-49.12	-49.12	-49.8	-10.361684	17.833542	3.8011334	-63.26375	-10.361381	0.0	62500	1391.8920149803162
25	-49.7	-49.7	-47.5	-10.340684	17.79594	9.80548	-61.888176	-10.340249	0.1	65000	1446.7973630428314
26	-49.96	-49.96	-49.3	-10.47739	17.88805	6.639594	-61.03603	-10.478678	0.0	67500	1503.4180755615234
27	-49.4	-49.4	-47.6	-10.48028	17.873316	8.721884	-62.502388	-10.48049	0.0	70000	1558.7394635677338
28	-49.6	-49.6	-48.7	-10.62737	17.974934	4.4695077	-61.841766	-10.62874	0.1	72500	1614.0863897800446
29	-49.6	-49.6	-48.3	-10.58326	17.889196	11.583228	-65.22769	-10.584514	0.1	75000	1668.029937028885
30	-48.12	-48.12	-50.0	-10.61052	17.870592	5.3511653	-63.8804	-10.610414	0.0	77500	1723.7914626598358
31	-49.62	-49.62	-48.3	-10.643512	17.877163	7.050621	-59.792294	-10.644322	0.0	80000	1778.7344360351562
32	-49.44	-49.44	-48.1	-10.712294	17.883034	11.639971	-65.47404	-10.712713	0.1	82500	1833.281408071518
33	-49.0	-49.0	-45.899998	-10.786408	17.947784	5.5212784	-62.992386	-10.786716	0.1	85000	1888.8997299671173
34	-49.88	-49.88	-50.0	-10.851052	17.943588	4.823592	-62.462337	-10.849617	0.0	87500	1944.4320187568665
35	-48.08	-48.08	-49.5	-10.883475	17.92142	19.58751	-64.14371	-10.885738	0.0	90000	2000.8832967281342
36	-47.2	-47.2	-49.8	-10.840178	17.879858	12.073205	-61.11079	-10.839175	0.0	92500	2055.3710610866547
37	-48.74	-48.74	-48.3	-10.737101	17.763407	9.866564	-63.643986	-10.738241	0.1	95000	2110.963010787964
38	-49.28	-49.28	-49.7	-10.851867	17.819212	16.790356	-62.08087	-10.851716	0.0	97500	2166.7286880016327
39	-48.54	-48.54	-50.0	-10.915895	17.880392	4.6980295	-65.5671	-10.916405	0.0	100000	2222.3049685955048
40	-49.2	-49.2	-46.9	-11.001489	17.921492	3.82652	-75.3613	-11.002348	0.1	102500	2278.0270812511444
41	-47.94	-47.94	-48.9	-10.929699	17.827085	5.480445	-63.17615	-10.930181	0.0	105000	2332.4205684661865
42	-49.14	-49.14	-47.8	-10.986612	17.900377	15.623838	-64.00608	-10.9865675	0.0	107500	2388.312388896942
43	-49.08	-49.08	-47.6	-11.028977	17.890629	9.786255	-72.89847	-11.028596	0.0	110000	2443.319396018982
44	-49.08	-49.08	-49.4	-11.16812	17.977774	9.714998	-73.317764	-11.168725	0.0	112500	2499.7526094913483
45	-48.04	-48.04	-47.3	-11.098632	17.942469	6.8137302	-68.376656	-11.100115	0.1	115000	2554.697098493576
46	-48.86	-48.86	-48.7	-11.123994	17.945856	17.97937	-69.29258	-11.121847	0.0	117500	2610.924595117569
47	-48.4	-48.4	-46.6	-11.130463	17.922249	9.57693	-66.57026	-11.129401	0.1	120000	2666.131066083908
48	-49.28	-49.28	-43.5	-11.165985	17.913843	13.201476	-64.34054	-11.166563	0.2	122500	2720.457190990448
49	-49.48	-49.48	-48.2	-11.339757	18.00619	4.6662326	-59.659306	-11.340046	0.0	125000	2775.7712869644165
50	-49.42	-49.42	-49.2	-11.2982235	17.99169	3.6884193	-71.637665	-11.297032	0.0	127500	2830.1501331329346
51	-48.72	-48.72	-49.6	-11.282449	17.98162	8.364118	-62.473206	-11.282989	0.0	130000	2886.5552096366882
52	-48.68	-48.68	-44.5	-11.369126	18.040688	20.557673	-77.45749	-11.367851	0.0	132500	2941.643611907959
53	-49.06	-49.06	-50.0	-11.370364	18.059023	10.752221	-72.70342	-11.369514	0.0	135000	2998.219928741455
54	-48.8	-48.8	-49.0	-11.386248	18.023956	12.339187	-62.28874	-11.386591	0.0	137500	3053.887208223343
55	-47.66	-47.66	-49.7	-11.459299	18.039675	13.929762	-65.013664	-11.457276	0.0	140000	3110.1236572265625
56	-48.7	-48.7	-49.4	-11.449668	18.035925	7.205634	-58.97815	-11.44881	0.0	142500	3166.580342769623
57	-47.9	-47.9	-46.7	-11.442613	17.979649	10.824078	-63.85859	-11.441262	0.1	145000	3222.250918149948
58	-47.0	-47.0	-46.6	-11.427626	17.966337	18.240938	-62.501305	-11.428481	0.1	147500	3277.2157006263733
59	-49.2	-49.2	-49.3	-11.315646	17.807365	4.6910653	-65.029205	-11.313169	0.0	150000	3332.9374330043793
60	-47.56	-47.56	-49.4	-11.307601	17.785982	22.480785	-66.16386	-11.306784	0.0	152500	3388.5309624671936
61	-49.02	-49.02	-50.0	-11.287452	17.732258	13.393135	-67.83508	-11.287673	0.0	155000	3443.7859098911285
62	-48.6	-48.6	-45.5	-11.199651	17.619263	12.741915	-66.923454	-11.198827	0.2	157500	3499.7645366191864
63	-47.92	-47.92	-44.2	-11.214556	17.635767	6.787271	-64.256645	-11.215713	0.2	160000	3554.5251080989838
64	-48.34	-48.34	-49.1	-11.32263	17.713146	7.7490554	-61.311256	-11.322568	0.0	162500	3610.9613943099976
65	-49.16	-49.16	-49.1	-11.356981	17.706839	9.898826	-64.79487	-11.355538	0.0	165000	3666.8835196495056
66	-47.96	-47.96	-44.7	-11.358069	17.704096	9.118606	-60.82278	-11.35807	0.2	167500	3722.349132299423
67	-49.42	-49.42	-44.3	-11.322985	17.655664	15.533568	-79.90485	-11.3240595	0.0	170000	3778.70654463768
