Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-49.0	-49.0	-50.0	-1.5393035	2.9484797	1.0759736	-22.283539	nan	0.0	2500	52.84360313415527
1	-48.0	-48.0	-45.0	-3.0346308	6.418793	0.93747115	-42.82929	nan	0.1	5000	118.49039578437805
2	-47.0	-47.0	-50.0	-4.2520676	9.107237	0.91163814	-41.30999	nan	0.0	7500	182.9010293483734
3	-50.0	-50.0	-45.0	-5.253912	11.050836	0.9185412	-91.1856	nan	0.1	10000	246.65003871917725
4	-50.0	-50.0	-50.0	-5.746796	12.143979	1.3192929	-58.65756	nan	0.0	12500	309.5962519645691
5	-49.0	-49.0	-50.0	-5.818557	12.529164	1.2904607	-60.05965	nan	0.0	15000	372.8527956008911
6	-49.0	-49.0	-45.0	-5.8461537	12.700595	2.5987546	-73.37205	nan	0.1	17500	434.76147508621216
7	-50.0	-50.0	-45.0	-6.0274396	12.9744	2.1726158	-55.43654	nan	0.1	20000	495.1688573360443
8	-44.06	-44.06	-50.0	-6.203079	13.268487	1.9683199	-56.321533	nan	0.0	22500	556.0096864700317
9	-49.0	-49.0	-50.0	-6.187014	13.291075	1.7350343	-57.390766	nan	0.0	25000	618.2066383361816
10	-47.0	-47.0	-50.0	-6.229442	13.386249	2.3018646	-55.851654	nan	0.0	27500	679.6427624225616
11	-49.0	-49.0	-45.0	-6.4122386	13.705006	4.806075	-55.86946	nan	0.1	30000	742.1981811523438
12	-47.26	-47.26	-50.0	-6.6324434	14.103836	5.982552	-60.350735	nan	0.0	32500	802.6575503349304
13	-48.0	-48.0	-40.0	-6.7291474	14.3406725	3.7391717	-57.766617	nan	0.2	35000	863.5572662353516
14	-47.0	-47.0	-50.0	-6.840649	14.529725	3.0225499	-54.81912	nan	0.0	37500	923.2916767597198
15	-48.0	-48.0	-45.0	-6.809086	14.3717985	3.1870902	-61.23911	nan	0.1	40000	984.8648393154144
16	-47.0	-47.0	-50.0	-6.8590665	14.397824	3.6487465	-61.509018	nan	0.0	42500	1046.2057440280914
17	-49.0	-49.0	-50.0	-7.0400724	14.668534	2.8654473	-57.761944	nan	0.0	45000	1107.753677368164
18	-47.94	-47.94	-50.0	-6.912742	14.499687	2.8200502	-57.58252	nan	0.0	47500	1170.2591166496277
19	-49.0	-49.0	-50.0	-6.951519	14.556367	3.2718625	-61.568817	nan	0.0	50000	1231.6675057411194
20	-47.0	-47.0	-50.0	-7.1423683	14.9433775	2.7720778	-58.26047	nan	0.0	52500	1292.1451799869537
21	-48.0	-48.0	-50.0	-7.3047485	15.231715	2.8797848	-59.014473	nan	0.0	55000	1352.9286410808563
22	-50.0	-50.0	-40.0	-7.2019095	15.138326	2.390203	-59.86475	nan	0.2	57500	1413.679853439331
23	-48.0	-48.0	-45.0	-7.1230264	15.043379	3.987937	-56.44039	nan	0.1	60000	1473.1468513011932
24	-48.0	-48.0	-50.0	-6.741705	14.383361	3.2580397	-61.806915	nan	0.0	62500	1533.9724781513214
25	-49.14	-49.14	-45.0	-6.112224	13.202285	2.128509	-55.15108	nan	0.1	65000	1595.1907844543457
26	-49.0	-49.0	-45.0	-5.988405	12.7233715	4.031636	-61.684177	nan	0.1	67500	1656.2655024528503
27	-46.0	-46.0	-50.0	-5.8923707	12.509426	4.406211	-62.083767	nan	0.0	70000	1717.3656828403473
28	-49.0	-49.0	-50.0	-5.9902525	12.65452	4.0992455	-55.493404	nan	0.0	72500	1777.9175164699554
29	-47.3	-47.3	-50.0	-6.2234955	13.080114	2.2713795	-56.482056	nan	0.0	75000	1838.6701204776764
30	-49.0	-49.0	-50.0	-6.2505255	13.160973	2.9545317	-60.131058	nan	0.0	77500	1899.8264803886414
31	-49.3	-49.3	-45.0	-6.1850314	13.006369	6.03743	-59.477547	nan	0.1	80000	1960.8635141849518
32	-50.0	-50.0	-45.0	-5.9906483	12.621693	3.2007751	-55.99505	nan	0.1	82500	2022.423884153366
33	-46.2	-46.2	-50.0	-6.0454617	12.714222	5.2094793	-55.288803	nan	0.0	85000	2083.835975408554
34	-47.94	-47.94	-50.0	-6.273194	13.134291	3.7343817	-54.394897	nan	0.0	87500	2143.3776903152466
35	-50.0	-50.0	-45.0	-6.499249	13.56433	3.541575	-58.06035	nan	0.1	90000	2204.2362008094788
36	-48.7	-48.7	-50.0	-6.560135	13.669452	2.7386556	-56.882225	nan	0.0	92500	2265.0566189289093
37	-49.0	-49.0	-35.0	-6.680262	13.855585	2.773882	-57.244408	nan	0.3	95000	2326.002950668335
38	-45.4	-45.4	-50.0	-6.6517777	13.871981	3.6375587	-57.504982	nan	0.0	97500	2386.332596063614
39	-50.0	-50.0	-40.0	-6.532462	13.690658	4.0334396	-64.447975	nan	0.2	100000	2446.6435236930847
40	-48.76	-48.76	-50.0	-6.585515	13.70676	4.0574946	-59.048836	nan	0.0	102500	2506.4257247447968
41	-46.5	-46.5	-50.0	-6.471693	13.454769	2.6422834	-58.89018	nan	0.0	105000	2567.073994398117
42	-46.68	-46.68	-50.0	-6.34488	13.200604	3.3517694	-68.627235	nan	0.0	107500	2627.160932302475
43	-47.3	-47.3	-50.0	-6.201372	12.876863	5.3597655	-57.859688	nan	0.0	110000	2688.523274421692
44	-48.04	-48.04	-50.0	-5.9855504	12.419123	2.8477254	-58.800415	nan	0.0	112500	2750.2263128757477
45	-46.3	-46.3	-50.0	-6.088188	12.648108	3.4318202	-55.656727	nan	0.0	115000	2811.2807426452637
46	-47.1	-47.1	-50.0	-6.205552	12.876387	3.6222422	-61.274315	nan	0.0	117500	2872.3147826194763
47	-47.98	-47.98	-45.0	-6.213456	12.827816	3.1313167	-56.4404	nan	0.1	120000	2933.7925794124603
48	-49.54	-49.54	-45.0	-5.8277764	12.105223	2.8384235	-56.02	nan	0.1	122500	2994.404049396515
49	-48.0	-48.0	-45.0	-5.3313856	11.100267	3.8190958	-60.790607	nan	0.1	125000	3053.8908865451813
50	-49.06	-49.06	-50.0	-4.8101306	10.080751	3.0831275	-57.329193	nan	0.0	127500	3112.9386053085327
51	-47.0	-47.0	-45.0	-4.9312696	10.260955	4.3056955	-58.815105	nan	0.1	130000	3171.6882321834564
52	-47.0	-47.0	-45.0	-5.1808457	10.721313	4.132558	-56.704	nan	0.1	132500	3231.0892808437347
53	-49.0	-49.0	-50.0	-5.4748936	11.255469	3.6491117	-56.621384	nan	0.0	135000	3290.1758863925934
54	-48.46	-48.46	-45.0	-5.5956373	11.45747	5.5924845	-55.239697	nan	0.1	137500	3349.182142496109
55	-47.48	-47.48	-50.0	-5.5250554	11.290425	3.8642144	-55.376316	nan	0.0	140000	3408.4812297821045
56	-44.52	-44.52	-50.0	-5.599589	11.488263	3.1885228	-54.23634	nan	0.0	142500	3467.520877122879
57	-50.0	-50.0	-50.0	-6.0582614	12.359896	3.5979152	-54.982777	nan	0.0	145000	3525.9480764865875
58	-48.98	-48.98	-50.0	-6.28398	12.796231	4.1330147	-55.061436	nan	0.0	147500	3585.2328746318817
59	-46.18	-46.18	-50.0	-6.390924	13.001347	5.5779753	-64.03594	nan	0.0	150000	3645.2525820732117
60	-46.42	-46.42	-50.0	-6.339949	12.964031	5.2374105	-54.0017	nan	0.0	152500	3705.6939487457275
61	-46.58	-46.58	-50.0	-5.9847407	12.386815	4.4472804	-60.03828	nan	0.0	155000	3765.37185049057
62	-45.62	-45.62	-50.0	-5.6848693	11.901166	3.7744503	-56.65512	nan	0.0	157500	3825.1767513751984
63	-50.0	-50.0	-50.0	-5.783673	12.006235	3.5205822	-58.645588	nan	0.0	160000	3883.0494725704193
64	-46.88	-46.88	-45.0	-5.9342203	12.165092	4.0505075	-61.143185	nan	0.1	162500	3942.323719263077
65	-46.84	-46.84	-45.0	-6.03324	12.283175	3.6057863	-54.810863	nan	0.1	165000	4002.4109394550323
66	-49.82	-49.82	-50.0	-6.1158586	12.483482	2.9221988	-55.555077	nan	0.0	167500	4062.68408703804
67	-49.0	-49.0	-50.0	-6.0744433	12.418936	3.327869	-58.496334	nan	0.0	170000	4123.185842037201
68	-47.82	-47.82	-50.0	-5.980547	12.283286	5.4749446	-62.15715	nan	0.0	172500	4183.82298541069
69	-47.86	-47.86	-41.100002	-5.8545923	11.977561	5.200024	-54.87792	nan	0.2	175000	4244.833087921143
70	-48.26	-48.26	-50.0	-5.683537	11.568882	3.3505502	-58.518913	nan	0.0	177500	4305.201862812042
71	-46.52	-46.52	-50.0	-5.7941766	11.719006	4.6411023	-54.2134	nan	0.0	180000	4364.929778575897
72	-46.22	-46.22	-46.100002	-5.8490543	11.905455	4.1061654	-54.72229	nan	0.1	182500	4426.027033567429
73	-48.22	-48.22	-45.0	-5.8929443	12.033478	4.2927785	-54.638138	nan	0.1	185000	4485.093309879303
74	-47.92	-47.92	-46.0	-5.9095125	12.094767	3.2982855	-55.71443	nan	0.1	187500	4544.945265293121
75	-47.92	-47.92	-45.0	-5.8677735	12.020021	2.583744	-56.49449	nan	0.1	190000	4605.544438123703
76	-47.54	-47.54	-46.100002	-5.548088	11.427272	4.597286	-56.094883	nan	0.1	192500	4666.121457576752
77	-46.9	-46.9	-50.0	-5.209371	10.603612	3.1524363	-52.348286	nan	0.0	195000	4727.824075460434
78	-46.64	-46.64	-50.0	-5.0053854	10.134006	4.0644426	-53.44311	nan	0.0	197500	4788.744078159332
79	-47.6	-47.6	-41.7	-5.118556	10.324403	2.884162	-55.24365	nan	0.2	200000	4848.436538219452
80	-46.66	-46.66	-50.0	-5.3472204	10.761146	3.2970934	-56.041893	nan	0.0	202500	4909.412680387497
81	-48.48	-48.48	-50.0	-5.535666	11.175954	4.8158607	-56.07591	nan	0.0	205000	4968.795018672943
82	-50.0	-50.0	-45.0	-5.5780497	11.369063	1.3752174	-58.660484	nan	0.1	207500	5027.88933801651
83	-47.6	-47.6	-49.7	-5.599911	11.44731	2.3497677	-55.001442	nan	0.0	210000	5086.988463878632
84	-48.0	-48.0	-45.5	-5.5867457	11.496835	1.6367445	-53.975918	nan	0.1	212500	5146.120881080627
85	-46.16	-46.16	-45.0	-5.5649695	11.516422	1.9432373	-54.57141	nan	0.1	215000	5207.010777950287
86	-47.78	-47.78	-50.0	-5.635529	11.620292	1.3312597	-54.23643	nan	0.0	217500	5266.445267438889
87	-47.24	-47.24	-49.8	-5.6981444	11.799627	1.6753931	-56.10008	nan	0.0	220000	5326.793815374374
88	-48.98	-48.98	-50.0	-5.837362	12.005744	1.7050676	-55.4868	nan	0.0	222500	5386.651342868805
89	-46.76	-46.76	-50.0	-5.769967	11.935852	1.1681995	-55.50948	nan	0.0	225000	5446.963049173355
90	-46.76	-46.76	-45.0	-5.6898885	11.78549	1.8043737	-56.974167	nan	0.1	227500	5506.170685529709
91	-47.06	-47.06	-45.0	-5.5593057	11.574478	2.152071	-54.825134	nan	0.1	230000	5565.085962057114
92	-49.12	-49.12	-45.0	-5.581528	11.641392	3.4937658	-54.131634	nan	0.1	232500	5624.349517583847
93	-41.66	-41.66	-45.899998	-5.6083355	11.675637	2.980031	-55.480972	nan	0.1	235000	5684.2237849235535
94	-47.62	-47.62	-39.3	-5.658026	11.767271	1.7426882	-54.898018	nan	0.3	237500	5742.981678247452
95	-46.62	-46.62	-43.899998	-5.650984	11.657462	14.432661	-55.985573	nan	0.1	240000	5802.677191495895
96	-47.08	-47.08	-50.0	-5.226635	10.792917	10.478397	-55.890366	nan	0.0	242500	5863.634701967239
97	-46.48	-46.48	-50.0	-4.89673	10.104508	5.357114	-55.281425	nan	0.0	245000	5922.879140615463
98	-45.74	-45.74	-46.0	-5.0051365	10.2733755	1.6881342	-54.033333	nan	0.1	247500	5981.970006942749
99	-46.78	-46.78	-43.100002	-5.296716	10.834299	1.340272	-55.628372	nan	0.2	250000	6041.094038724899
100	-45.56	-45.56	-50.0	-5.4089036	11.084723	1.8082657	-56.320404	nan	0.0	252500	6100.68269610405
101	-44.98	-44.98	-47.7	-5.458431	11.230844	1.5218849	-55.579666	nan	0.1	255000	6160.514152765274
