Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-44.66	-44.66	-50.0	-1.6573253	2.710688	1.0299188	-20.006758	nan	0.0	2500	47.33611011505127
1	-49.0	-49.0	-45.0	-2.765928	5.5977707	0.6837529	-37.759632	nan	0.1	5000	114.03124284744263
2	-46.04	-46.04	-50.0	-3.846299	8.291329	0.7460324	-38.01506	nan	0.0	7500	178.44861960411072
3	-45.5	-45.5	-50.0	-4.7579155	10.454585	0.68157625	-43.733715	nan	0.0	10000	241.33901286125183
4	-46.0	-46.0	-50.0	-5.4104657	11.900462	1.0436156	-53.297062	nan	0.0	12500	303.80775213241577
5	-46.0	-46.0	-45.0	-5.5428743	12.28828	1.5318979	-70.99032	nan	0.1	15000	366.95111083984375
6	-48.0	-48.0	-45.0	-5.4718	12.091342	1.6922872	-55.260323	nan	0.1	17500	429.6234302520752
7	-48.0	-48.0	-45.0	-5.7662506	12.635558	2.9232097	-57.289467	nan	0.1	20000	491.1419107913971
8	-44.0	-44.0	-35.0	-5.754637	12.725596	3.1865938	-62.871754	nan	0.3	22500	551.4283719062805
9	-47.0	-47.0	-50.0	-5.7044563	12.673147	2.5380893	-57.100876	nan	0.0	25000	612.1548738479614
10	-48.0	-48.0	-39.8	-6.0068717	13.192603	3.5745986	-55.1097	nan	0.2	27500	673.3367409706116
11	-48.0	-48.0	-50.0	-6.0989695	13.462142	2.3450356	-53.750484	nan	0.0	30000	735.2022747993469
12	-46.94	-46.94	-45.0	-6.2440233	13.725915	2.6976147	-54.31347	nan	0.1	32500	797.218398809433
13	-49.0	-49.0	-50.0	-6.3299975	13.860193	2.844717	-55.197823	nan	0.0	35000	859.5723764896393
14	-47.6	-47.6	-50.0	-6.463535	14.096271	2.8813744	-56.877823	nan	0.0	37500	920.4220130443573
15	-47.6	-47.6	-40.0	-6.6237984	14.400146	2.5140452	-55.200912	nan	0.2	40000	982.4326515197754
16	-48.0	-48.0	-50.0	-6.640849	14.369724	4.6387444	-66.346596	nan	0.0	42500	1045.6921577453613
17	-47.0	-47.0	-45.0	-6.105345	13.23395	4.0787945	-57.79712	nan	0.1	45000	1109.0938458442688
18	-46.0	-46.0	-45.0	-5.540354	12.098846	3.113165	-62.61666	nan	0.1	47500	1171.8787441253662
19	-45.86	-45.86	-50.0	-5.7256517	12.381715	3.3647017	-57.66952	nan	0.0	50000	1233.856034040451
20	-47.0	-47.0	-45.0	-6.210826	13.294163	3.45675	-60.497242	nan	0.1	52500	1293.953851699829
21	-47.0	-47.0	-50.0	-6.5567546	14.019604	3.0794952	-57.93749	nan	0.0	55000	1356.5203940868378
22	-47.08	-47.08	-50.0	-6.6314077	14.266749	3.0145202	-60.796017	nan	0.0	57500	1418.6210844516754
23	-45.28	-45.28	-45.0	-6.477571	14.00086	7.440028	-66.45446	nan	0.1	60000	1480.0109980106354
24	-47.0	-47.0	-50.0	-6.1211996	13.273255	3.4287643	-57.632534	nan	0.0	62500	1542.1922941207886
25	-49.76	-49.76	-50.0	-5.904459	12.7680435	4.3015623	-63.671455	nan	0.0	65000	1603.795783996582
26	-49.0	-49.0	-45.0	-6.083141	13.03204	8.211474	-58.364876	nan	0.1	67500	1665.3844752311707
27	-49.0	-49.0	-50.0	-6.4091105	13.633978	6.5429926	-59.229454	nan	0.0	70000	1727.732233285904
28	-47.0	-47.0	-50.0	-6.7496414	14.226243	5.6891537	-60.013504	nan	0.0	72500	1788.6614525318146
29	-49.0	-49.0	-50.0	-6.8676496	14.520401	3.8562536	-63.731464	nan	0.0	75000	1851.1630647182465
30	-47.0	-47.0	-50.0	-6.851756	14.535426	4.975973	-62.225605	nan	0.0	77500	1913.1123716831207
31	-46.34	-46.34	-50.0	-6.75607	14.315461	8.294812	-58.904423	nan	0.0	80000	1975.5034182071686
32	-45.0	-45.0	-50.0	-6.8224325	14.42347	5.0032735	-58.79153	nan	0.0	82500	2037.5468397140503
