Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-50.0	-50.0	-40.0	-1.7055993	3.6909518	16.191286	-31.406975	nan	0.2	2500	41.28303551673889
1	-49.0	-49.0	-50.0	-3.7277055	7.553615	4.1719766	-45.305397	nan	0.0	5000	95.06403636932373
2	-50.0	-50.0	-50.0	-4.9308515	9.955268	1.5213392	-45.682224	nan	0.0	7500	163.20927500724792
3	-50.0	-50.0	-47.3	-5.917284	11.883601	1.8224357	-61.868732	nan	0.1	10000	228.8055899143219
4	-50.0	-50.0	-50.0	-6.434277	12.8705845	1.4811628	-52.945515	nan	0.0	12500	293.56408190727234
5	-49.72	-49.72	-50.0	-6.6405845	13.33857	1.1705431	-54.35526	nan	0.0	15000	358.16887974739075
6	-49.96	-49.96	-49.8	-6.4293566	12.943759	2.587978	-78.04259	nan	0.0	17500	422.5629794597626
7	-49.92	-49.92	-50.0	-6.4573236	12.910434	2.0436087	-56.12331	nan	0.0	20000	486.5461468696594
8	-49.88	-49.88	-50.0	-6.131447	12.291488	1.4286146	-57.037815	nan	0.0	22500	548.8630840778351
9	-49.92	-49.92	-49.2	-5.6456685	11.258231	2.0851104	-56.97402	nan	0.0	25000	611.4218420982361
10	-49.7	-49.7	-50.0	-5.917354	11.465051	2.2055874	-55.321636	nan	0.0	27500	674.7523176670074
11	-49.92	-49.92	-46.399998	-6.3113728	12.161269	2.3169963	-56.751995	nan	0.1	30000	737.9021162986755
12	-49.96	-49.96	-49.7	-6.490006	12.503752	3.4037528	-56.39871	nan	0.0	32500	801.9338965415955
13	-49.54	-49.54	-50.0	-6.655733	12.795423	3.2456634	-58.2989	nan	0.0	35000	863.894629240036
14	-49.82	-49.82	-50.0	-6.686272	12.953284	6.622849	-55.357456	nan	0.0	37500	925.8267576694489
15	-50.0	-50.0	-50.0	-6.7911053	13.163149	2.6201057	-57.19726	nan	0.0	40000	988.2822592258453
16	-49.9	-49.9	-50.0	-6.8877163	13.2662525	2.678232	-59.11081	nan	0.0	42500	1051.4084496498108
17	-49.9	-49.9	-46.3	-7.003188	13.354028	4.0709004	-58.1452	nan	0.1	45000	1114.6266255378723
