Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-48.0	-48.0	-50.0	4.552374	8.315672	343.60205	0.48193967	4.574995	0.0	2500	88.41466116905212
1	-49.64	-49.64	-45.0	9.595394	2.1938927	17.473213	3.967553	9.553101	0.1	5000	170.3839967250824
2	-48.0	-48.0	-50.0	8.658097	2.0585623	16.505478	3.8737218	8.603012	0.0	7500	253.36212635040283
3	-48.0	-48.0	-50.0	5.0278354	1.282349	9.874668	1.8337457	5.0050216	0.0	10000	332.6393938064575
4	-46.0	-46.0	-45.0	2.8291519	0.716049	6.7750483	1.0760646	2.8056412	0.1	12500	412.7746353149414
5	-50.0	-50.0	-45.0	1.7492993	0.4229576	4.4295244	0.700601	1.7262436	0.1	15000	493.48427414894104
6	-49.0	-49.0	-50.0	1.120189	0.24436757	2.085306	0.3593846	1.1032594	0.0	17500	571.7894282341003
7	-49.0	-49.0	-50.0	0.75983095	0.1555974	1.3617022	0.31230295	0.7485082	0.0	20000	651.9002900123596
8	-48.0	-48.0	-50.0	0.54638565	0.10798029	1.0386527	0.279458	0.54024863	0.0	22500	734.2060980796814
9	-50.0	-50.0	-48.0	0.43801108	0.10529095	1.244647	0.20151773	0.43241176	0.0	25000	815.3672595024109
10	-47.0	-47.0	-50.0	0.36096227	0.13114227	1.4703374	0.13858075	0.35256988	0.0	27500	896.6347925662994
11	-44.98	-44.98	-50.0	0.29266393	0.14990346	1.8923632	0.116131976	0.28532207	0.0	30000	972.4832673072815
12	-47.0	-47.0	-50.0	0.25798523	0.15761939	1.8907107	0.107407406	0.25209308	0.0	32500	1047.3388261795044
13	-48.0	-48.0	-50.0	0.24823734	0.17120539	2.218129	0.099615715	0.23806995	0.0	35000	1122.1903400421143
14	-49.0	-49.0	-45.0	0.23553942	0.16247825	1.6990583	0.08713722	0.23057923	0.1	37500	1197.2855882644653
15	-47.06	-47.06	-50.0	0.24893683	0.19386616	2.9453912	0.07982606	0.23490289	0.0	40000	1275.1114683151245
16	-48.0	-48.0	-45.0	0.26736727	0.26871154	4.9577684	0.06787604	0.24966274	0.1	42500	1351.4082658290863
17	-48.84	-48.84	-40.0	0.2535279	0.25376666	4.6411796	0.06749649	0.24854016	0.2	45000	1427.4479093551636
18	-49.0	-49.0	-50.0	0.2289038	0.19470243	2.7692645	0.059772745	0.22539762	0.0	47500	1505.2142000198364
19	-47.92	-47.92	-49.5	0.24064067	0.21985553	3.8273604	0.06490249	0.24519321	0.0	50000	1581.130686044693
20	-48.16	-48.16	-50.0	0.26480773	0.24422574	5.5623755	0.05641654	0.24942753	0.0	52500	1657.8368327617645
21	-49.92	-49.92	-50.0	0.37786913	0.6597447	11.883825	0.08137025	0.36601198	0.0	55000	1735.6285405158997
22	-48.7	-48.7	-43.2	0.37636417	0.7119857	12.92492	0.07689509	0.35223347	0.1	57500	1811.0233533382416
23	-47.0	-47.0	-50.0	0.4624044	1.0486696	19.076103	0.078651726	0.44057965	0.0	60000	1888.13259100914
24	-50.0	-50.0	-50.0	0.51627696	0.9989694	25.951542	0.08817873	0.48126614	0.0	62500	1965.0667657852173
25	-49.94	-49.94	-48.7	0.8090571	2.5617964	62.079838	0.10217174	0.7849028	0.1	65000	2040.2421205043793
26	-48.24	-48.24	-45.0	1.4787635	4.0892224	83.21865	0.13495688	1.441986	0.1	67500	2116.985092639923
