Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-50.0	-50.0	-50.0	4.4688077	13.503549	563.8629	0.35814318	4.487134	0.0	2500	90.67988777160645
1	-47.0	-47.0	-40.0	8.855107	1.942229	15.971993	3.9627388	8.78586	0.2	5000	173.73110461235046
2	-47.0	-47.0	-45.0	8.128917	1.8543503	15.307566	3.2641883	8.091354	0.1	7500	256.6142797470093
3	-46.0	-46.0	-45.0	5.483832	1.3735931	13.002827	2.292532	5.478898	0.1	10000	336.69718742370605
4	-48.58	-48.58	-50.0	3.5599532	0.9808114	8.794031	1.4517581	3.5600069	0.0	12500	418.46493434906006
5	-46.0	-46.0	-45.0	2.4156866	0.8034718	7.9620233	0.9665433	2.4159853	0.1	15000	499.8799786567688
6	-45.0	-45.0	-45.0	1.6392888	0.7389451	9.257966	0.65250915	1.640953	0.1	17500	579.6020872592926
7	-47.0	-47.0	-45.0	1.1272836	0.6884738	11.227897	0.43674672	1.1227199	0.1	20000	660.5968062877655
8	-47.7	-47.7	-40.0	0.7209666	0.343726	3.392945	0.26959398	0.71380204	0.2	22500	741.6713316440582
9	-49.0	-49.0	-50.0	0.48470685	0.18751153	2.0434945	0.20403805	0.4759583	0.0	25000	825.8363628387451
10	-47.0	-47.0	-45.0	0.35158387	0.12179482	1.3875065	0.14201994	0.3528726	0.1	27500	905.0893368721008
11	-47.16	-47.16	-45.0	0.30012643	0.12074173	1.2865586	0.13063958	0.29758567	0.1	30000	981.4639897346497
12	-49.0	-49.0	-45.0	0.25452608	0.12003653	1.9154924	0.11276739	0.24675688	0.1	32500	1057.9860405921936
13	-46.62	-46.62	-50.0	0.24360003	0.1715143	1.9708817	0.084366515	0.24011096	0.0	35000	1132.7295520305634
14	-46.7	-46.7	-45.0	0.25169063	0.26918286	4.5283885	0.06625739	0.24433975	0.1	37500	1211.048276424408
15	-46.0	-46.0	-50.0	0.29190943	0.42007622	5.042318	0.056009926	0.28356922	0.0	40000	1288.6645834445953
16	-48.0	-48.0	-47.5	0.28673798	0.45303595	9.414959	0.065688804	0.2847846	0.0	42500	1365.1909184455872
