Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-49.0	-49.0	-50.0	8.097922	19.330347	254.05464	0.3279098	8.157056	0.0	2500	60.568546295166016
1	-50.0	-50.0	-50.0	15.618476	16.403082	289.98022	2.2354524	15.503846	0.0	5000	117.73621678352356
2	-50.0	-50.0	-50.0	30.061953	47.66037	571.21484	2.2289605	29.861305	0.0	7500	174.716246843338
3	-50.0	-50.0	-50.0	89.86675	160.63347	1702.3506	1.83761	88.955734	0.0	10000	231.41103982925415
4	-49.68	-49.68	-50.0	38.82699	70.309944	744.00037	1.1109474	38.471283	0.0	12500	287.1306116580963
5	-50.0	-50.0	-45.0	22.658125	44.107845	411.50604	0.89674175	22.354286	0.1	15000	342.91062211990356
6	-50.0	-50.0	-50.0	12.519678	27.022608	336.17108	0.5564066	12.105402	0.0	17500	398.2777945995331
7	-49.0	-49.0	-50.0	9.162574	15.980394	227.29384	0.53460765	8.717117	0.0	20000	454.6674385070801
8	-50.0	-50.0	-50.0	14.718213	14.49728	159.7215	1.6028216	14.1938715	0.0	22500	512.1895718574524
9	-49.52	-49.52	-50.0	8.125727	6.7300572	77.21498	1.1675872	7.610144	0.0	25000	568.9615762233734
10	-50.0	-50.0	-50.0	4.8445387	4.980608	63.016052	0.65655565	4.510798	0.0	27500	625.045089006424
11	-49.5	-49.5	-50.0	5.3313985	8.079819	172.15965	0.5407841	4.8409467	0.0	30000	681.8357176780701
12	-50.0	-50.0	-50.0	8.255669	17.3427	467.60632	0.43945208	7.8459363	0.0	32500	737.2112486362457
13	-50.0	-50.0	-50.0	13.686574	26.458033	409.2474	0.51369834	12.297232	0.0	35000	793.1827864646912
14	-50.0	-50.0	-50.0	38.13577	166.45142	6163.625	0.6903994	35.73082	0.0	37500	849.8209719657898
15	-49.96	-49.96	-50.0	159.60928	852.3411	31210.129	1.3335629	142.99297	0.0	40000	906.1617877483368
16	-50.0	-50.0	-49.7	519.038	2186.7058	53819.117	5.410641	453.6341	0.0	42500	963.9655811786652
17	-50.0	-50.0	-50.0	1275.6515	4314.9565	81584.04	23.164564	1074.49	0.0	45000	1023.2932553291321
