Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-48.0	-48.0	-50.0	0.099308796	0.082512386	0.4100538	0.003498174	0.10033901	0.0	2500	77.07292461395264
1	-49.0	-49.0	-45.0	0.37113574	0.11304876	1.0228235	0.12657529	0.37153706	0.1	5000	166.33558130264282
2	-48.16	-48.16	-50.0	0.5194895	0.14442235	1.7230783	0.1672962	0.5231385	0.0	7500	253.5520739555359
3	-48.06	-48.06	-50.0	0.5098681	0.13372286	1.2254684	0.17089663	0.51371485	0.0	10000	340.32392263412476
4	-46.0	-46.0	-45.0	0.5264354	0.15812711	2.0346437	0.16922691	0.5293309	0.1	12500	426.25235533714294
5	-50.0	-50.0	-45.0	0.50406426	0.13681199	1.7355227	0.17983314	0.5069752	0.1	15000	513.3460142612457
6	-49.0	-49.0	-50.0	0.53039545	0.14814742	1.6404114	0.20759408	0.52722937	0.0	17500	599.6655583381653
7	-49.72	-49.72	-50.0	0.5648528	0.16029564	2.1209636	0.21571115	0.55732095	0.0	20000	685.2552726268768
8	-48.0	-48.0	-50.0	0.58943003	0.1558555	1.7024044	0.23422836	0.5873926	0.0	22500	772.4746150970459
9	-50.0	-50.0	-45.0	0.6296511	0.17593111	1.9093304	0.23545483	0.62268	0.1	25000	857.8219463825226
10	-47.0	-47.0	-50.0	0.6671357	0.21161474	2.9343057	0.27897614	0.6617678	0.0	27500	939.9177088737488
11	-45.0	-45.0	-50.0	0.6550156	0.20285021	3.0551605	0.21462438	0.6481688	0.0	30000	1020.6552813053131
12	-46.92	-46.92	-50.0	0.67773587	0.20762454	2.5939944	0.24179669	0.66970545	0.0	32500	1099.0177924633026
13	-48.0	-48.0	-50.0	0.6482646	0.1975562	2.8209438	0.23307803	0.6413719	0.0	35000	1179.0966475009918
14	-49.9	-49.9	-45.0	0.6274108	0.2011505	2.743203	0.24996603	0.6205331	0.1	37500	1258.754503250122
15	-47.0	-47.0	-50.0	0.6291537	0.17054138	2.4144273	0.21302636	0.62445676	0.0	40000	1338.6571726799011
16	-47.16	-47.16	-45.0	0.6158061	0.15412262	2.0214126	0.23074345	0.61382467	0.1	42500	1419.483957529068
