Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-46.18	-46.18	-50.0	0.15273541	0.33635333	4.2181854	0.0008616778	0.14932086	0.0	2500	64.31364393234253
1	-49.0	-49.0	-45.0	0.3614318	0.20566382	2.732124	0.10842331	0.3626652	0.1	5000	157.90623712539673
2	-46.0	-46.0	-50.0	0.94628257	1.6935749	24.422768	0.20716405	0.94273746	0.0	7500	247.7346830368042
3	-45.4	-45.4	-50.0	6.7891903	26.670713	367.16327	0.28471988	6.787703	0.0	10000	336.90592527389526
4	-46.0	-46.0	-50.0	117.025375	496.25223	9344.296	0.40593958	116.91358	0.0	12500	424.42821073532104
5	-46.5	-46.5	-45.0	1037.0303	5090.876	62747.023	0.45959535	1036.8369	0.1	15000	513.1990330219269
6	-48.0	-48.0	-45.0	4176.028	21839.926	280733.25	2.2897985	4192.3516	0.1	17500	600.8877046108246
7	-48.98	-48.98	-45.0	9330.078	41856.824	469039.97	31.116196	9309.0	0.1	20000	688.6772320270538
8	-47.42	-47.42	-38.399998	18807.46	85442.945	1016775.4	243.3334	18672.531	0.2	22500	775.6765813827515
9	-46.98	-46.98	-50.0	38723.785	182047.67	2188094.2	752.338	38420.777	0.0	25000	864.7532663345337
10	-48.62	-48.62	-43.600002	77171.58	323614.25	4098912.5	1918.245	76832.445	0.1	27500	952.4195001125336
11	-48.0	-48.0	-50.0	134697.84	501968.22	6800016.5	3381.3025	134257.02	0.0	30000	1034.7609162330627
12	-47.04	-47.04	-45.0	204416.22	714029.7	8133940.5	11629.396	204320.45	0.1	32500	1115.911306142807
13	-49.0	-49.0	-48.6	274120.6	882897.1	11276359.0	21990.887	274824.9	0.0	35000	1196.7880373001099
14	-47.0	-47.0	-50.0	401598.12	1090051.0	14836206.0	43331.78	401805.4	0.0	37500	1280.1381356716156
15	-47.54	-47.54	-40.0	605992.7	1486069.6	15922999.0	64182.43	606995.1	0.2	40000	1362.5298070907593
16	-48.76	-48.76	-50.0	652289.94	1610624.0	20401000.0	61160.035	651031.44	0.0	42500	1446.5666222572327
17	-47.62	-47.62	-45.0	684825.06	1690157.9	23520532.0	68102.84	683787.7	0.1	45000	1530.3161897659302
18	-46.0	-46.0	-45.0	757602.6	2114748.0	30811216.0	71895.09	756686.75	0.1	47500	1612.5273532867432
19	-45.0	-45.0	-50.0	754765.75	2118504.8	32288008.0	39740.293	756385.44	0.0	50000	1695.493658065796
20	-47.0	-47.0	-45.0	897477.3	2702515.2	46413844.0	64706.535	897599.56	0.1	52500	1777.825915336609
21	-47.0	-47.0	-50.0	1023806.06	3436530.5	43137988.0	60308.95	1027123.2	0.0	55000	1858.956755399704
22	-47.36	-47.36	-50.0	1079528.2	3163249.2	57028096.0	57543.11	1082483.4	0.0	57500	1942.8154621124268
23	-46.0	-46.0	-45.0	1231625.2	4570645.0	63838924.0	67841.64	1233131.4	0.1	60000	2025.960967540741
24	-46.82	-46.82	-50.0	1229481.6	4314832.5	57854176.0	51143.688	1235592.9	0.0	62500	2109.006081342697
25	-49.0	-49.0	-50.0	923049.2	3353963.8	60322490.0	43168.875	925014.25	0.0	65000	2192.003205537796
26	-49.0	-49.0	-41.5	1445325.5	6711909.5	96172390.0	42891.586	1452730.2	0.2	67500	2273.849575996399
27	-48.94	-48.94	-50.0	1676962.0	8070483.0	111361210.0	57820.688	1688225.4	0.0	70000	2354.417536497116
28	-47.0	-47.0	-50.0	1396578.9	6509870.5	150801380.0	61015.258	1403328.8	0.0	72500	2434.4467306137085
29	-49.0	-49.0	-50.0	2084428.0	10861441.0	223379170.0	32687.465	2097426.0	0.0	75000	2516.140372991562
30	-47.0	-47.0	-50.0	2492129.5	13401447.0	291499840.0	67395.97	2507866.2	0.0	77500	2594.4387440681458
31	-45.92	-45.92	-50.0	3355835.5	18331910.0	383462500.0	95030.875	3361784.8	0.0	80000	2675.9722917079926
32	-45.46	-45.46	-50.0	4497212.0	24308434.0	441731700.0	95175.95	4526567.5	0.0	82500	2756.207020998001
33	-49.0	-49.0	-45.0	5205748.0	28521352.0	550635200.0	171293.81	5241692.5	0.1	85000	2836.5644674301147
34	-44.0	-44.0	-45.0	6500433.5	34470890.0	682989600.0	110678.2	6517407.5	0.1	87500	2916.509560585022
35	-50.0	-50.0	-50.0	8255786.0	40411836.0	720025340.0	300161.66	8286295.5	0.0	90000	2995.7641689777374
36	-49.0	-49.0	-50.0	9407986.0	45215332.0	812866560.0	529016.25	9431756.0	0.0	92500	3075.184894323349
37	-44.0	-44.0	-50.0	10581681.0	49761388.0	980634600.0	642925.4	10605871.0	0.0	95000	3154.7295351028442
38	-48.0	-48.0	-50.0	12070316.0	58745100.0	1177657700.0	752098.25	12103629.0	0.0	97500	3234.802363395691
39	-46.86	-46.86	-50.0	11007330.0	59658030.0	1329301100.0	549994.25	11019986.0	0.0	100000	3315.7821097373962
40	-42.0	-42.0	-50.0	14674817.0	78490970.0	1552921300.0	665846.5	14660789.0	0.0	102500	3397.5635669231415
41	-48.96	-48.96	-50.0	16203123.0	78494940.0	1702021500.0	847065.75	16142617.0	0.0	105000	3478.0419886112213
42	-49.0	-49.0	-50.0	20980532.0	93392590.0	1978201100.0	1232307.5	21133130.0	0.0	107500	3558.533799648285
43	-46.48	-46.48	-45.0	23740686.0	113088920.0	2384971000.0	1196980.6	23730614.0	0.1	110000	3637.6504826545715
44	-46.0	-46.0	-50.0	20842876.0	72663144.0	2555285800.0	1430719.5	20816302.0	0.0	112500	3715.683507204056
45	-49.84	-49.84	-45.0	29994758.0	151533980.0	2759419000.0	1676273.9	30095494.0	0.1	115000	3795.734686613083
46	-44.0	-44.0	-40.0	24291168.0	121940710.0	2652301300.0	1592458.2	24411426.0	0.2	117500	3874.8235216140747
47	-42.44	-42.44	-44.7	25700434.0	125307730.0	2320009200.0	1641370.1	25726272.0	0.1	120000	3956.1428554058075
48	-47.0	-47.0	-50.0	24138060.0	128144616.0	2584459500.0	1428380.6	24158192.0	0.0	122500	4035.3784654140472
49	-45.0	-45.0	-45.0	18199732.0	72690000.0	1857689700.0	1377582.5	18233286.0	0.1	125000	4114.92959356308
50	-42.9	-42.9	-50.0	20021404.0	94331910.0	1745522700.0	1360912.2	20079408.0	0.0	127500	4196.021215200424
51	-49.0	-49.0	-45.0	16959674.0	85678850.0	1771637600.0	1182902.0	16896922.0	0.1	130000	4274.947073459625
52	-45.0	-45.0	-45.0	15128196.0	68972460.0	1323213400.0	950049.5	15095625.0	0.1	132500	4353.513967037201
53	-48.0	-48.0	-50.0	10335597.0	47638084.0	1242605400.0	831620.06	10320482.0	0.0	135000	4434.219525098801
54	-47.64	-47.64	-45.0	10740577.0	52210080.0	980104960.0	709729.5	10765990.0	0.1	137500	4513.154433965683
55	-46.0	-46.0	-50.0	8175061.5	48491016.0	1100934300.0	639749.25	8188125.0	0.0	140000	4591.967897176743
56	-47.88	-47.88	-50.0	7130466.5	35545812.0	781966900.0	530025.1	7128318.0	0.0	142500	4669.414350032806
57	-46.98	-46.98	-48.8	7182500.5	40968828.0	916109950.0	460689.94	7203949.5	0.0	145000	4748.082441806793
58	-46.68	-46.68	-50.0	5763501.5	35264696.0	837500350.0	397274.94	5770538.0	0.0	147500	4826.1760449409485
59	-47.0	-47.0	-40.5	5408963.5	34987864.0	801119000.0	327538.12	5380791.5	0.1	150000	4903.750778436661
60	-47.0	-47.0	-50.0	4839087.5	25093830.0	557491600.0	265589.56	4977027.0	0.0	152500	4983.888595342636
61	-48.18	-48.18	-50.0	6049042.5	46230468.0	1240316000.0	268907.8	6123881.5	0.0	155000	5064.019572257996
62	-43.88	-43.88	-49.7	9374628.0	53604376.0	1320535600.0	227223.84	9447386.0	0.0	157500	5144.690701246262
63	-47.0	-47.0	-45.0	9121920.0	61577770.0	1303964800.0	289813.12	9182807.0	0.1	160000	5222.576406240463
64	-46.12	-46.12	-50.0	9103470.0	60927920.0	1450387300.0	303597.3	9237134.0	0.0	162500	5302.508451461792
65	-49.0	-49.0	-45.0	10984458.0	54672220.0	1470678000.0	404860.12	11122984.0	0.1	165000	5382.16450881958
66	-46.0	-46.0	-45.0	15696849.0	91964990.0	2612928500.0	517448.94	15860104.0	0.1	167500	5461.868371725082
67	-48.4	-48.4	-45.0	23957324.0	118706104.0	3031683000.0	1110599.5	24052784.0	0.1	170000	5540.319044828415
68	-48.0	-48.0	-50.0	30812632.0	165158820.0	3725853400.0	730364.5	31151796.0	0.0	172500	5620.81201672554
69	-46.28	-46.28	-40.0	36359896.0	217791940.0	5121543700.0	1146878.9	36279970.0	0.2	175000	5698.51148891449
70	-45.0	-45.0	-35.0	39559344.0	223638830.0	5064464000.0	1292575.0	39505700.0	0.3	177500	5777.017667531967
71	-44.34	-44.34	-50.0	46514150.0	251116960.0	5077961700.0	1564205.4	46407812.0	0.0	180000	5855.941957950592
72	-47.0	-47.0	-50.0	46340644.0	249944980.0	7071420000.0	1631684.8	46690804.0	0.0	182500	5933.148185968399
73	-47.0	-47.0	-45.0	56155430.0	320004770.0	9803076000.0	2357152.5	56558600.0	0.1	185000	6012.300656795502
74	-50.0	-50.0	-50.0	86719360.0	561174800.0	12414408000.0	2268463.5	86618260.0	0.0	187500	6091.541469573975
75	-42.0	-42.0	-50.0	91378790.0	591642400.0	13810726000.0	2367775.5	91753736.0	0.0	190000	6169.8738622665405
76	-44.58	-44.58	-45.0	122987120.0	671645400.0	13577985000.0	3705487.5	123524250.0	0.1	192500	6249.6618711948395
77	-47.0	-47.0	-50.0	121941200.0	707442000.0	18821607000.0	4629473.0	121827970.0	0.0	195000	6328.591360330582
78	-47.0	-47.0	-50.0	147717140.0	891710340.0	20682258000.0	4516865.0	148609060.0	0.0	197500	6408.375413417816
79	-49.0	-49.0	-50.0	162698910.0	853638140.0	20047931000.0	4792674.5	164024940.0	0.0	200000	6486.575163125992
80	-48.0	-48.0	-49.6	149604350.0	482129920.0	14698721000.0	6438911.0	150937440.0	0.0	202500	6564.686631679535
81	-47.88	-47.88	-40.0	165267180.0	638377500.0	24845818000.0	7846453.5	167060670.0	0.2	205000	6643.043128490448
82	-44.0	-44.0	-50.0	116976710.0	203062080.0	2751932000.0	5914603.0	116419496.0	0.0	207500	6721.252960681915
83	-48.94	-48.94	-50.0	177289900.0	284786430.0	2961141500.0	9797001.0	175003000.0	0.0	210000	6800.170997142792
84	-45.38	-45.38	-46.5	193231380.0	287227970.0	2888367900.0	11611480.0	192383180.0	0.0	212500	6879.571897268295
85	-46.78	-46.78	-40.0	208627860.0	321467780.0	3381719800.0	12625438.0	208826900.0	0.2	215000	6957.928996324539
86	-47.0	-47.0	-45.0	219385950.0	358505920.0	3908440800.0	9193349.0	219424600.0	0.1	217500	7035.750944852829
87	-48.0	-48.0	-50.0	272493250.0	405280700.0	3939232300.0	14928159.0	269990430.0	0.0	220000	7112.8797726631165
88	-47.0	-47.0	-50.0	290729760.0	448631970.0	5587288600.0	14144754.0	288810900.0	0.0	222500	7191.345194816589
89	-46.74	-46.74	-50.0	282257340.0	432726900.0	5985838000.0	11705328.0	281324800.0	0.0	225000	7269.687953710556
90	-47.0	-47.0	-45.0	300863870.0	428078750.0	3858803700.0	15169264.0	299791940.0	0.1	227500	7347.264340400696
91	-48.0	-48.0	-48.1	379953340.0	590207000.0	5058642400.0	20631684.0	378110940.0	0.0	230000	7424.299246072769
92	-49.0	-49.0	-45.0	411259740.0	611387840.0	4765580300.0	17598092.0	410268000.0	0.1	232500	7504.961361885071
93	-46.0	-46.0	-45.0	336134080.0	519005700.0	4245883100.0	16531673.0	333796480.0	0.1	235000	7584.713583946228
