Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-49.92	-49.92	-50.0	0.1250313	0.11444582	1.4858433	0.0027131403	0.1259279	0.0	2500	47.043041706085205
1	-50.0	-50.0	-50.0	0.31773555	0.086080335	0.78882354	0.119017564	0.31980243	0.0	5000	100.95999598503113
2	-49.94	-49.94	-50.0	0.35589564	0.11228952	0.78290224	0.121904746	0.3563858	0.0	7500	163.85081553459167
3	-50.0	-50.0	-50.0	0.41584164	0.15767393	1.1620574	0.11624413	0.41805908	0.0	10000	225.1462950706482
4	-49.42	-49.42	-50.0	0.49626055	0.20360948	1.5302997	0.14863557	0.50028384	0.0	12500	286.87957739830017
5	-49.94	-49.94	-50.0	0.46510112	0.18772192	1.6068692	0.13078947	0.4638465	0.0	15000	347.7092535495758
6	-49.46	-49.46	-50.0	0.42867485	0.15303811	1.4419677	0.1460696	0.42561102	0.0	17500	408.6127738952637
7	-50.0	-50.0	-50.0	0.434752	0.15504536	2.6571522	0.13501671	0.43991867	0.0	20000	468.3079562187195
8	-49.0	-49.0	-49.7	0.4140492	0.1438022	1.5550147	0.14133331	0.42043942	0.0	22500	529.3702011108398
9	-50.0	-50.0	-49.8	0.4262821	0.1663149	1.8872272	0.13902768	0.43190688	0.0	25000	589.1201641559601
10	-49.6	-49.6	-50.0	0.4413727	0.16385321	1.5293053	0.1564709	0.44727302	0.0	27500	648.9975967407227
11	-49.86	-49.86	-45.0	0.47095892	0.2310034	5.6301303	0.13727713	0.47355956	0.1	30000	709.155401468277
12	-49.8	-49.8	-50.0	0.472592	0.18300857	2.787532	0.16446564	0.47056425	0.0	32500	768.869106054306
13	-49.9	-49.9	-50.0	0.5293239	0.27753788	4.625662	0.16177185	0.52755576	0.0	35000	827.8320376873016
14	-49.82	-49.82	-49.8	0.55638224	0.30386144	3.6412508	0.20233533	0.56259125	0.0	37500	887.7653546333313
15	-48.76	-48.76	-50.0	0.7018522	0.6181577	8.380347	0.21416122	0.730072	0.0	40000	947.9820599555969
16	-49.64	-49.64	-49.9	1.6374146	2.8340898	48.59423	0.22026455	1.6945226	0.0	42500	1008.7147400379181
17	-48.74	-48.74	-50.0	5.7871866	12.071756	141.29242	0.32692814	6.0345197	0.0	45000	1069.9753181934357
18	-49.36	-49.36	-50.0	41.5328	100.92637	1846.962	0.5513183	41.77447	0.0	47500	1132.2869107723236
19	-49.32	-49.32	-50.0	193.59862	480.93994	9223.786	1.1816437	192.27861	0.0	50000	1193.6139171123505
20	-50.0	-50.0	-50.0	282.12256	820.8601	15583.622	1.7788472	278.45303	0.0	52500	1254.6559369564056
21	-50.0	-50.0	-50.0	402.3065	1095.3822	24045.033	1.5286821	396.15347	0.0	55000	1315.7146346569061
