Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-48.0	-48.0	-50.0	-1.0709093	1.73269	3.7836363	-13.520682	-1.0709093	0.0	2500	26.243953704833984
1	-46.9	-46.9	-45.0	-2.0979183	3.9766166	1.4238131	-23.227972	-2.0979183	0.1	5000	55.33035159111023
2	-48.0	-48.0	-50.0	-2.9383898	6.0706415	1.0581374	-30.970848	-2.9383898	0.0	7500	85.08735704421997
3	-49.0	-49.0	-50.0	-3.666712	7.7340555	3.2471726	-56.927032	-3.666712	0.0	10000	114.40553069114685
4	-49.0	-49.0	-45.0	-4.335086	9.075269	1.3265783	-45.237988	-4.335086	0.1	12500	144.2663426399231
5	-50.0	-50.0	-45.0	-4.860437	10.137485	2.1380134	-63.11018	-4.860437	0.1	15000	174.13124418258667
6	-47.0	-47.0	-50.0	-5.2257195	10.899959	3.6365225	-51.494846	-5.2257195	0.0	17500	204.00667691230774
7	-48.54	-48.54	-45.0	-5.4870067	11.474099	3.253989	-52.27146	-5.4870067	0.1	20000	233.37037205696106
8	-48.88	-48.88	-50.0	-5.737506	11.967653	2.2699165	-53.585217	-5.737506	0.0	22500	262.94103598594666
9	-48.82	-48.82	-50.0	-5.982678	12.426121	3.501613	-56.09985	-5.982678	0.0	25000	293.3101010322571
10	-46.0	-46.0	-45.0	-6.142183	12.722953	2.722429	-55.729496	-6.142183	0.1	27500	322.68624353408813
11	-47.78	-47.78	-50.0	-6.2336726	12.93466	5.472164	-53.84509	-6.2336726	0.0	30000	352.66746282577515
12	-49.0	-49.0	-50.0	-6.3565702	13.135847	5.107259	-54.743683	-6.3565702	0.0	32500	382.17589259147644
13	-46.22	-46.22	-50.0	-6.378099	13.208283	2.0589933	-57.262367	-6.378099	0.0	35000	412.24522042274475
14	-48.14	-48.14	-50.0	-6.405081	13.257753	2.191874	-57.35525	-6.405081	0.0	37500	442.1882863044739
15	-48.84	-48.84	-50.0	-6.4613204	13.310745	5.364693	-56.650913	-6.4613204	0.0	40000	471.6239581108093
16	-47.22	-47.22	-50.0	-6.510078	13.383118	2.7633615	-53.580944	-6.510078	0.0	42500	501.0099596977234
17	-49.9	-49.9	-50.0	-6.52009	13.455614	2.5602756	-51.887257	-6.52009	0.0	45000	530.5067403316498
18	-48.72	-48.72	-50.0	-6.6006374	13.565386	2.764558	-52.068924	-6.6006374	0.0	47500	561.4216802120209
19	-47.0	-47.0	-49.9	-6.570573	13.533425	2.5470562	-52.16903	-6.570573	0.0	50000	591.1911273002625
20	-45.86	-45.86	-50.0	-6.612639	13.589762	4.5551267	-51.285507	-6.612639	0.0	52500	621.020144701004
21	-48.98	-48.98	-45.0	-6.5870256	13.54894	6.8033037	-52.513348	-6.5870256	0.1	55000	650.9633376598358
22	-47.0	-47.0	-40.0	-6.617589	13.617769	4.2749567	-53.603058	-6.617589	0.2	57500	680.1401345729828
23	-48.78	-48.78	-45.0	-6.5681305	13.570222	5.2228484	-53.68894	-6.5681305	0.1	60000	710.3079915046692
24	-49.1	-49.1	-50.0	-6.5741267	13.55043	3.593561	-53.652676	-6.5741267	0.0	62500	739.8962264060974
25	-49.12	-49.12	-45.0	-6.5670276	13.487693	4.3016424	-56.166405	-6.5670276	0.1	65000	770.021570444107
26	-49.74	-49.74	-50.0	-6.551722	13.419082	3.3474908	-58.2998	-6.551722	0.0	67500	799.3329699039459
27	-48.88	-48.88	-50.0	-6.502561	13.367172	6.2892466	-53.939423	-6.502561	0.0	70000	829.4592344760895
28	-48.96	-48.96	-50.0	-6.5424266	13.395115	3.389963	-53.32413	-6.5424266	0.0	72500	858.322776556015
29	-49.88	-49.88	-46.6	-6.5234528	13.360399	4.670305	-55.011356	-6.5234528	0.1	75000	887.8694386482239
30	-49.08	-49.08	-45.0	-6.491444	13.269396	4.28015	-55.227722	-6.491444	0.1	77500	917.3124752044678
31	-47.82	-47.82	-40.0	-6.4749207	13.19528	4.7334747	-54.503414	-6.4749207	0.2	80000	946.5540053844452
