Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-50.0	-50.0	-50.0	-1.1049558	1.6710687	3.39813	-12.472402	-1.1049558	0.0	2500	20.494926691055298
1	-47.0	-47.0	-40.0	-1.9152707	3.882221	4.826688	-155.58844	-1.9152707	0.2	5000	46.16584229469299
2	-47.0	-47.0	-45.0	-2.4830801	5.3920417	1.5693036	-56.494473	-2.4830801	0.1	7500	76.61625552177429
3	-46.0	-46.0	-45.0	-3.1182826	6.627233	2.6729567	-43.908894	-3.1182826	0.1	10000	106.75750279426575
4	-48.0	-48.0	-50.0	-3.7608511	7.9762745	1.8659806	-40.267887	-3.7608511	0.0	12500	136.58350086212158
5	-46.0	-46.0	-45.0	-4.3067765	9.178778	1.3079712	-40.708015	-4.3067765	0.1	15000	167.15274453163147
6	-46.82	-46.82	-49.5	-4.834972	10.267369	1.9043822	-51.113678	-4.834972	0.0	17500	198.12762928009033
7	-47.82	-47.82	-45.0	-5.3029056	11.242892	1.8309098	-58.868176	-5.3029056	0.1	20000	228.71208119392395
8	-47.0	-47.0	-40.0	-5.689927	12.016662	2.0571785	-58.30286	-5.689927	0.2	22500	259.2438774108887
9	-48.12	-48.12	-50.0	-6.0258384	12.644763	2.7092261	-55.630745	-6.0258384	0.0	25000	289.23152112960815
10	-47.0	-47.0	-45.0	-6.2733703	13.135425	2.5640967	-59.804096	-6.2733703	0.1	27500	319.36274886131287
11	-47.0	-47.0	-45.0	-6.4539113	13.523475	2.1174605	-52.820198	-6.4539113	0.1	30000	349.58150696754456
12	-49.0	-49.0	-45.0	-6.692652	13.929894	4.6089034	-52.892227	-6.692652	0.1	32500	378.9111044406891
13	-46.42	-46.42	-50.0	-6.808011	14.165285	2.8919249	-52.024036	-6.808011	0.0	35000	408.5531060695648
14	-45.28	-45.28	-45.0	-6.868636	14.335549	2.407975	-53.65147	-6.868636	0.1	37500	439.1406366825104
