Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-49.9	-49.9	-50.0	-1.0470041	2.0984077	1.0450609	-12.763266	-1.0470041	0.0	2500	30.674583435058594
1	-50.0	-50.0	-50.0	-2.2474403	4.4862866	0.4228815	-19.440916	-2.2474403	0.0	5000	61.678757429122925
2	-50.0	-50.0	-50.0	-3.2838278	6.6088223	0.5124537	-25.076551	-3.2838278	0.0	7500	91.73254299163818
3	-50.0	-50.0	-50.0	-4.1838713	8.415947	0.6872612	-28.92698	-4.1838713	0.0	10000	121.8548059463501
4	-50.0	-50.0	-50.0	-4.8845606	9.7477865	1.2450488	-52.774326	-4.8845606	0.0	12500	151.78327083587646
5	-50.0	-50.0	-50.0	-5.3533015	10.6639805	1.2492182	-55.269333	-5.3533015	0.0	15000	181.8617160320282
6	-50.0	-50.0	-50.0	-5.7240057	11.221815	1.3866247	-48.81887	-5.7240057	0.0	17500	211.51127219200134
7	-49.94	-49.94	-50.0	-6.070134	11.688718	4.1199174	-46.562233	-6.070134	0.0	20000	241.61826395988464
8	-49.44	-49.44	-50.0	-6.2909436	11.933968	6.7329645	-45.148838	-6.2909436	0.0	22500	271.1941363811493
9	-50.0	-50.0	-49.3	-6.337208	11.902636	3.2364223	-48.903297	-6.337208	0.0	25000	300.83043789863586
10	-49.94	-49.94	-50.0	-6.4157157	11.857589	1.7706163	-45.99199	-6.4157157	0.0	27500	330.1656744480133
11	-49.68	-49.68	-48.7	-6.499375	11.915112	2.2576168	-47.55031	-6.499375	0.0	30000	359.6152684688568
12	-49.88	-49.88	-50.0	-6.61037	12.05131	1.5553355	-48.22802	-6.61037	0.0	32500	389.11672377586365
13	-49.86	-49.86	-50.0	-6.691283	12.189114	1.9566667	-48.94509	-6.691283	0.0	35000	418.59841895103455
14	-49.88	-49.88	-50.0	-6.766163	12.343568	1.3812629	-50.879787	-6.766163	0.0	37500	448.3356111049652
