Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-48.0	-48.0	-50.0	-0.41764954	1.002459	1.2107941	-8.683632	-0.41761032	0.0	2500	42.492998123168945
1	-49.0	-49.0	-45.0	-1.2357638	2.526176	0.56348836	-11.693728	-1.2356784	0.1	5000	85.24325323104858
2	-48.0	-48.0	-50.0	-1.8164285	3.6836674	0.8042071	-17.666628	-1.8165098	0.0	7500	127.17681241035461
3	-48.0	-48.0	-50.0	-2.2726727	4.646436	0.83864313	-19.671114	-2.272785	0.0	10000	169.06223225593567
4	-45.26	-45.26	-45.0	-2.683729	5.5014176	1.0503863	-20.905336	-2.6838121	0.1	12500	211.13648223876953
5	-50.0	-50.0	-45.0	-3.0226743	6.2156396	1.5637913	-22.374683	-3.0227273	0.1	15000	252.85477256774902
6	-49.0	-49.0	-50.0	-3.3653448	6.8700414	1.1540337	-31.879147	-3.36538	0.0	17500	295.2454743385315
7	-48.88	-48.88	-50.0	-3.6103406	7.3687377	1.591939	-30.854856	-3.6104393	0.0	20000	336.62892866134644
8	-48.0	-48.0	-50.0	-3.8451865	7.8439717	1.4441657	-33.383003	-3.8451269	0.0	22500	375.93400740623474
9	-50.0	-50.0	-45.0	-4.059862	8.269275	1.6810215	-36.858913	-4.0598507	0.1	25000	418.3854591846466
10	-47.38	-47.38	-50.0	-4.318316	8.697409	1.8550897	-43.923294	-4.3184123	0.0	27500	459.13640332221985
11	-45.88	-45.88	-50.0	-4.424526	8.972015	2.4750824	-39.619186	-4.4246197	0.0	30000	500.6534421443939
12	-47.94	-47.94	-50.0	-4.565766	9.218193	2.5559995	-40.05529	-4.5661907	0.0	32500	543.1429493427277
13	-48.0	-48.0	-50.0	-4.6588507	9.44005	3.1153567	-38.08468	-4.658916	0.0	35000	585.5894963741302
14	-49.36	-49.36	-45.0	-4.7605124	9.656032	2.3628135	-40.567627	-4.7607255	0.1	37500	627.6027891635895
15	-47.0	-47.0	-50.0	-4.845006	9.822864	3.0588162	-52.876095	-4.8449855	0.0	40000	670.3818051815033
16	-48.32	-48.32	-45.0	-4.9526224	10.001648	2.389169	-53.035877	-4.952292	0.1	42500	712.6107077598572
17	-48.8	-48.8	-40.2	-5.045777	10.15374	2.6151004	-58.258442	-5.04579	0.2	45000	754.6015870571136
18	-48.94	-48.94	-50.0	-5.158866	10.316994	2.5582633	-56.903576	-5.158764	0.0	47500	791.8930013179779
19	-46.64	-46.64	-49.0	-5.221485	10.446973	3.675952	-54.767178	-5.221479	0.1	50000	833.329514503479
20	-48.34	-48.34	-50.0	-5.28171	10.565426	2.814165	-54.48249	-5.281608	0.0	52500	870.8688838481903
21	-49.26	-49.26	-47.0	-5.35477	10.675056	4.321575	-54.137978	-5.354753	0.1	55000	912.4969794750214
22	-49.26	-49.26	-40.0	-5.4443617	10.7989	3.530129	-53.95278	-5.4441915	0.2	57500	954.744921207428
23	-45.92	-45.92	-50.0	-5.5032344	10.893969	5.6132855	-54.671192	-5.5032473	0.0	60000	996.6256458759308
24	-49.54	-49.54	-50.0	-5.540406	10.968961	3.2228234	-52.714878	-5.5405364	0.0	62500	1039.5914268493652
25	-49.98	-49.98	-50.0	-5.5788245	11.045188	5.5639825	-52.26922	-5.5789967	0.0	65000	1081.939181804657
26	-49.06	-49.06	-45.0	-5.6188884	11.097985	4.225362	-52.403675	-5.6189876	0.1	67500	1124.5798361301422
27	-46.7	-46.7	-35.600002	-5.612686	11.102813	5.052524	-52.024334	-5.61272	0.3	70000	1165.756329536438
28	-47.24	-47.24	-45.0	-5.692113	11.175165	4.0771747	-58.671753	-5.6924095	0.1	72500	1207.926916360855
29	-48.56	-48.56	-46.9	-5.6939344	11.204782	5.0034685	-54.562607	-5.6938143	0.1	75000	1250.4218709468842
30	-47.74	-47.74	-47.2	-5.718401	11.256187	3.84623	-53.780437	-5.7183065	0.1	77500	1289.1732006072998
31	-48.7	-48.7	-46.9	-5.721745	11.2754	5.8309093	-53.596584	-5.7216415	0.1	80000	1331.9619159698486
32	-47.68	-47.68	-43.0	-5.753659	11.318132	4.5359316	-55.631126	-5.753572	0.1	82500	1374.8616065979004
33	-47.7	-47.7	-47.8	-5.799423	11.37523	3.7111268	-55.75937	-5.799281	0.1	85000	1416.8365716934204
34	-48.0	-48.0	-45.0	-5.8301673	11.414028	4.1363654	-57.210106	-5.830502	0.1	87500	1457.8877210617065
35	-47.58	-47.58	-42.7	-5.8693705	11.458879	3.9666991	-60.758	-5.8692102	0.2	90000	1498.6660585403442
36	-48.98	-48.98	-47.5	-5.9010973	11.503128	3.2613747	-57.65406	-5.9015894	0.1	92500	1540.5362503528595
37	-42.66	-42.66	-41.7	-5.8957562	11.50952	3.4649897	-55.31125	-5.8954825	0.2	95000	1579.2327768802643
38	-42.04	-42.04	-50.0	-5.90119	11.530888	5.8961973	-53.756172	-5.901275	0.0	97500	1621.3669879436493
39	-48.56	-48.56	-44.7	-5.958754	11.589134	4.8676696	-57.04577	-5.958597	0.1	100000	1663.5258781909943
40	-44.88	-44.88	-45.7	-5.951446	11.60669	5.0052934	-55.72355	-5.9512296	0.1	102500	1706.0225400924683
41	-46.94	-46.94	-44.3	-5.9773617	11.644024	3.769425	-58.58747	-5.977292	0.1	105000	1748.4896931648254
42	-47.66	-47.66	-42.3	-5.99386	11.667967	5.8132386	-58.425938	-5.9934583	0.2	107500	1790.5032250881195
43	-45.92	-45.92	-41.100002	-5.997298	11.682264	4.905191	-56.4065	-5.9973016	0.2	110000	1832.778032541275
44	-45.7	-45.7	-36.5	-6.0841117	11.776792	5.306966	-58.933712	-6.0841274	0.4	112500	1874.5232872962952
45	-47.38	-47.38	-38.600002	-6.0606904	11.7688675	5.679481	-57.35142	-6.060427	0.3	115000	1916.9306745529175
46	-47.92	-47.92	-46.0	-6.0825396	11.771821	6.1044855	-62.52279	-6.082275	0.1	117500	1958.4203116893768
47	-45.8	-45.8	-45.399998	-6.089259	11.755283	4.552195	-57.54198	-6.0892415	0.1	120000	2000.5213057994843
48	-45.5	-45.5	-45.0	-6.0621514	11.733382	5.279162	-58.206833	-6.0619183	0.1	122500	2043.0262100696564
49	-46.18	-46.18	-40.5	-6.106822	11.747919	5.8033257	-58.120155	-6.1063366	0.2	125000	2085.2286710739136
50	-47.0	-47.0	-45.5	-6.1208534	11.750751	7.3667173	-58.92747	-6.1205816	0.2	127500	2127.66264462471
51	-48.98	-48.98	-42.3	-6.0981693	11.742911	6.3408756	-58.495564	-6.098156	0.2	130000	2169.9612579345703
52	-46.9	-46.9	-50.0	-6.1238146	11.771209	6.169828	-58.15693	-6.1235933	0.0	132500	2212.18247961998
53	-44.28	-44.28	-41.7	-6.1091175	11.771851	4.9339447	-59.28273	-6.109177	0.2	135000	2254.95214176178
54	-43.66	-43.66	-47.3	-6.14745	11.823571	4.934792	-64.838	-6.1475616	0.1	137500	2297.1125042438507
55	-46.38	-46.38	-36.3	-6.2026954	11.891253	6.9205527	-61.041546	-6.2026777	0.3	140000	2339.5513546466827
56	-45.84	-45.84	-31.0	-6.210658	11.90761	7.4354525	-71.1657	-6.2106495	0.4	142500	2381.9780213832855
57	-42.78	-42.78	-40.0	-6.199203	11.883182	6.624101	-80.16312	-6.199155	0.3	145000	2424.6489300727844
