Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-44.0	-44.0	-50.0	-0.49896166	1.014871	1.3238503	-6.54377	-0.4987811	0.0	2500	41.12400817871094
1	-46.0	-46.0	-45.0	-1.0802666	2.2869282	1.0187101	-12.745747	-1.0803571	0.1	5000	83.90672016143799
2	-46.0	-46.0	-45.0	-1.6621037	3.4981606	2.617885	-18.748083	-1.6621718	0.1	7500	127.20568943023682
3	-46.0	-46.0	-50.0	-2.1527948	4.5433025	1.6277585	-26.379927	-2.152854	0.0	10000	170.66566920280457
4	-49.0	-49.0	-40.0	-2.5805094	5.428472	1.691144	-31.789486	-2.5805504	0.2	12500	213.32346105575562
5	-48.9	-48.9	-50.0	-2.9653032	6.1900196	1.2885677	-54.70308	-2.965411	0.0	15000	255.71497654914856
6	-48.72	-48.72	-50.0	-3.317652	6.87947	2.2123668	-58.95613	-3.3177814	0.0	17500	299.1656677722931
7	-49.0	-49.0	-50.0	-3.5970404	7.4515567	1.7185285	-52.710636	-3.5972104	0.0	20000	341.7687420845032
8	-47.96	-47.96	-45.0	-3.853446	7.960869	2.2023969	-53.906845	-3.853535	0.1	22500	384.257874250412
9	-48.78	-48.78	-45.0	-4.0304728	8.35366	2.56416	-59.14993	-4.0306315	0.1	25000	426.9179220199585
10	-48.0	-48.0	-50.0	-4.219394	8.715361	2.6317294	-54.49856	-4.21947	0.0	27500	470.6538007259369
11	-46.08	-46.08	-45.0	-4.393027	9.034467	2.7542977	-52.37093	-4.3931847	0.1	30000	513.7688527107239
12	-49.0	-49.0	-50.0	-4.508808	9.286026	2.1775236	-51.705902	-4.508957	0.0	32500	556.8897013664246
13	-47.0	-47.0	-40.0	-4.6336446	9.533537	4.8883905	-53.53939	-4.6338463	0.2	35000	600.1613943576813
14	-48.0	-48.0	-45.0	-4.709481	9.712873	3.3549337	-52.49083	-4.70953	0.1	37500	643.4427647590637
15	-45.0	-45.0	-50.0	-4.8247848	9.899957	3.3323493	-52.125	-4.8250175	0.0	40000	686.0368194580078
16	-45.0	-45.0	-50.0	-4.872152	10.035586	4.045823	-53.02003	-4.8722105	0.0	42500	728.6876225471497
17	-47.58	-47.58	-45.0	-4.976982	10.207275	4.2838845	-52.667294	-4.976961	0.1	45000	771.8359150886536
18	-45.5	-45.5	-45.600002	-4.9800267	10.278092	3.3722806	-51.210247	-4.980191	0.1	47500	814.2521984577179
19	-49.0	-49.0	-50.0	-5.059893	10.408006	4.721792	-50.672955	-5.060012	0.0	50000	856.7198526859283
20	-48.0	-48.0	-50.0	-5.119554	10.519901	4.6633453	-53.158997	-5.119817	0.0	52500	899.9057395458221
21	-45.86	-45.86	-50.0	-5.2090383	10.651466	3.8616462	-52.71712	-5.209114	0.0	55000	941.917661190033
22	-49.0	-49.0	-30.0	-5.1944356	10.688217	4.714363	-50.92312	-5.1944838	0.4	57500	984.6258523464203
23	-47.0	-47.0	-50.0	-5.2334833	10.771187	3.4100218	-55.917686	-5.233591	0.0	60000	1027.2548155784607
24	-42.72	-42.72	-45.0	-5.251657	10.817759	5.023844	-54.48174	-5.2517123	0.1	62500	1070.7874884605408
25	-48.68	-48.68	-50.0	-5.286825	10.889406	4.592998	-57.64232	-5.286822	0.0	65000	1113.8581850528717
26	-47.82	-47.82	-50.0	-5.3574305	10.984259	4.1781073	-60.900333	-5.3573084	0.0	67500	1156.806410074234
27	-47.48	-47.48	-45.0	-5.339053	11.002252	5.8121634	-60.097595	-5.338937	0.1	70000	1199.9099669456482
28	-45.94	-45.94	-35.0	-5.3748355	11.06111	3.4063299	-57.464634	-5.374894	0.3	72500	1238.4757742881775
29	-47.0	-47.0	-50.0	-5.378473	11.082235	3.6643898	-56.7475	-5.3784747	0.0	75000	1281.9501974582672
30	-48.0	-48.0	-41.2	-5.38825	11.1142845	4.050305	-61.487053	-5.3880987	0.2	77500	1325.077582359314
31	-49.0	-49.0	-45.0	-5.447376	11.18546	3.5532448	-55.366608	-5.447214	0.1	80000	1368.212177991867
32	-46.98	-46.98	-45.0	-5.4719486	11.230177	3.8221147	-58.93045	-5.471892	0.1	82500	1406.633440732956
33	-48.0	-48.0	-50.0	-5.4887557	11.26601	5.7558603	-59.045246	-5.4888167	0.0	85000	1446.655217885971
34	-44.16	-44.16	-45.0	-5.4922214	11.27906	4.809439	-58.91032	-5.492167	0.1	87500	1489.2673180103302
35	-46.22	-46.22	-50.0	-5.5440392	11.334269	3.4702976	-55.11629	-5.54404	0.0	90000	1532.2165522575378
36	-46.66	-46.66	-40.0	-5.5311866	11.349464	4.292278	-54.51183	-5.531176	0.2	92500	1575.318932056427
37	-47.1	-47.1	-50.0	-5.5632825	11.395277	3.9228654	-55.08759	-5.5633316	0.0	95000	1618.432282447815
38	-45.94	-45.94	-50.0	-5.5732565	11.426637	3.9326947	-56.5524	-5.573168	0.0	97500	1661.0311379432678
39	-47.98	-47.98	-40.0	-5.5701222	11.43639	3.687944	-53.95699	-5.570097	0.2	100000	1704.0747108459473
40	-46.76	-46.76	-50.0	-5.5900993	11.459142	3.6858792	-60.837887	-5.5900793	0.0	102500	1746.852238893509
41	-46.92	-46.92	-45.0	-5.583491	11.466954	6.129481	-56.931232	-5.583467	0.1	105000	1789.7493875026703
42	-47.88	-47.88	-40.0	-5.5895953	11.488499	3.5561702	-57.11892	-5.5893507	0.2	107500	1832.828367471695
43	-47.78	-47.78	-50.0	-5.617578	11.526529	4.1247797	-53.980843	-5.6174755	0.0	110000	1875.7548878192902
44	-48.0	-48.0	-35.3	-5.647354	11.576333	3.7835915	-56.958614	-5.6473007	0.3	112500	1918.8377938270569
