Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-49.74	-49.74	-50.0	-0.5934063	1.3354142	0.41552112	-13.083184	-0.5934318	0.0	2500	35.54676389694214
1	-50.0	-50.0	-50.0	-1.3501314	2.6132786	0.57743084	-12.976304	-1.3502252	0.0	5000	78.72092628479004
2	-50.0	-50.0	-50.0	-2.0948815	3.8504128	0.6593907	-20.791033	-2.094905	0.0	7500	122.34700465202332
3	-49.94	-49.94	-50.0	-2.7651515	5.013089	1.1296114	-24.959196	-2.7650406	0.0	10000	166.87101125717163
4	-50.0	-50.0	-50.0	-3.2801585	5.9623833	1.6958177	-29.449654	-3.2801375	0.0	12500	210.7154974937439
5	-50.0	-50.0	-50.0	-3.7054272	6.76956	1.3378386	-30.470236	-3.7053132	0.0	15000	254.81404542922974
6	-49.38	-49.38	-50.0	-4.034904	7.423012	2.0747933	-30.873646	-4.034755	0.0	17500	299.0812327861786
7	-49.98	-49.98	-50.0	-4.3269076	7.96151	2.1792989	-31.953377	-4.3267627	0.0	20000	342.5532283782959
8	-49.7	-49.7	-49.8	-4.5898333	8.435846	2.1161287	-32.863792	-4.5895815	0.0	22500	385.37242460250854
9	-49.94	-49.94	-50.0	-4.826769	8.817609	1.698366	-34.39247	-4.826395	0.0	25000	428.5780930519104
10	-49.5	-49.5	-48.1	-5.0547514	9.160512	2.3061256	-36.1765	-5.054554	0.0	27500	471.90444827079773
11	-49.22	-49.22	-49.2	-5.268686	9.428505	2.0741112	-37.80863	-5.2680807	0.0	30000	514.7832472324371
12	-49.94	-49.94	-50.0	-5.4359975	9.656015	2.138866	-43.177742	-5.43571	0.0	32500	557.2808678150177
13	-49.88	-49.88	-50.0	-5.5601344	9.826205	5.4524693	-44.466404	-5.5594225	0.0	35000	600.2118163108826
14	-49.42	-49.42	-49.5	-5.6371884	9.970022	2.2148364	-46.316166	-5.636562	0.0	37500	643.6991159915924
15	-49.16	-49.16	-49.4	-5.7613506	10.160408	3.1678784	-48.20566	-5.7611856	0.0	40000	686.340656042099
16	-49.82	-49.82	-50.0	-5.878097	10.335905	3.0952106	-46.706112	-5.8778105	0.0	42500	728.7195997238159
17	-49.82	-49.82	-50.0	-5.9897213	10.492227	3.3977222	-45.57398	-5.989177	0.0	45000	771.4467997550964
18	-49.38	-49.38	-48.7	-6.1456695	10.712575	3.5202188	-48.15647	-6.145306	0.0	47500	813.9746313095093
19	-48.88	-48.88	-49.6	-6.2636127	10.905528	5.3862615	-51.280785	-6.2633653	0.0	50000	856.5124409198761
20	-48.78	-48.78	-49.5	-6.4026146	11.074386	4.218302	-54.521984	-6.4022408	0.0	52500	899.81409740448
21	-49.48	-49.48	-49.2	-6.518665	11.229964	3.746497	-53.708805	-6.518598	0.0	55000	942.9917409420013
22	-49.84	-49.84	-50.0	-6.6364083	11.395409	5.3393936	-49.47386	-6.636123	0.0	57500	986.1607065200806
23	-48.98	-48.98	-49.6	-6.6878943	11.535127	7.490775	-54.380486	-6.6872525	0.0	60000	1029.2011172771454
24	-49.8	-49.8	-43.899998	-6.854211	11.723606	7.3781633	-55.325092	-6.8537273	0.1	62500	1072.9936664104462
25	-48.44	-48.44	-48.4	-6.9240026	11.840949	6.371956	-54.657948	-6.923597	0.0	65000	1114.134242773056
26	-48.98	-48.98	-48.9	-7.0126987	11.956934	6.234508	-56.514076	-7.0121074	0.1	67500	1157.1265666484833
27	-45.82	-45.82	-48.1	-7.0650077	12.086896	7.4899735	-58.004803	-7.064722	0.0	70000	1199.838589668274
28	-48.36	-48.36	-46.7	-7.1512504	12.236218	6.7554426	-63.061066	-7.1510158	0.0	72500	1243.3824071884155
29	-47.44	-47.44	-48.5	-7.209644	12.315509	7.183134	-58.739555	-7.2095428	0.0	75000	1285.0299146175385
30	-48.64	-48.64	-50.0	-7.2461076	12.376514	4.354254	-60.22269	-7.245943	0.0	77500	1326.6230597496033
31	-48.66	-48.66	-41.3	-7.2918777	12.423532	11.185687	-62.829857	-7.2921314	0.2	80000	1369.4745621681213
32	-49.08	-49.08	-49.7	-7.3610687	12.503901	12.815599	-57.956085	-7.3610272	0.1	82500	1412.916330575943
33	-49.06	-49.06	-48.2	-7.444139	12.62384	9.329506	-57.88797	-7.4439034	0.0	85000	1456.0514941215515
34	-49.26	-49.26	-48.8	-7.5192866	12.716706	7.3405123	-57.568737	-7.519264	0.0	87500	1498.9225981235504
35	-47.58	-47.58	-48.4	-7.564823	12.783212	9.876898	-56.54123	-7.5649085	0.0	90000	1542.9703118801117
36	-49.42	-49.42	-50.0	-7.6022196	12.850496	8.196655	-78.316505	-7.602371	0.0	92500	1586.443207502365
37	-49.04	-49.04	-47.3	-7.617047	12.885383	9.036864	-62.1222	-7.617019	0.0	95000	1628.6413185596466
38	-48.96	-48.96	-50.0	-7.744703	13.017324	8.262245	-60.223244	-7.7447743	0.0	97500	1671.4390857219696
39	-48.92	-48.92	-50.0	-7.7533545	13.067474	10.560276	-70.69141	-7.7532167	0.0	100000	1713.8759279251099
40	-48.42	-48.42	-43.8	-7.757163	13.070593	8.72981	-62.1235	-7.7572002	0.0	102500	1757.0403418540955
41	-48.84	-48.84	-49.6	-7.8331804	13.15309	12.695821	-62.54444	-7.832949	0.0	105000	1796.0686783790588
42	-48.38	-48.38	-48.9	-7.8907638	13.2055	5.959148	-61.68548	-7.8907332	0.0	107500	1838.6257343292236
43	-48.32	-48.32	-49.5	-7.92779	13.253876	13.652905	-62.04491	-7.9275856	0.0	110000	1881.5988450050354
44	-49.66	-49.66	-47.8	-7.9436784	13.27833	11.769016	-66.483604	-7.9439335	0.1	112500	1922.7274675369263
45	-48.28	-48.28	-48.2	-7.906794	13.248362	9.84209	-64.72063	-7.9069824	0.0	115000	1965.4391570091248
46	-48.98	-48.98	-49.6	-7.9619875	13.297401	8.083102	-59.755016	-7.9620514	0.0	117500	2008.6048090457916
47	-49.02	-49.02	-47.1	-7.9640536	13.335056	7.972898	-58.48701	-7.9641957	0.1	120000	2051.6692247390747
48	-48.86	-48.86	-48.2	-7.977755	13.373104	7.5423455	-63.649506	-7.978014	0.0	122500	2094.6159839630127
49	-47.98	-47.98	-43.2	-7.9907355	13.394098	7.0804873	-59.157116	-7.9903145	0.2	125000	2137.593059539795
50	-48.94	-48.94	-50.0	-8.020585	13.428405	6.452415	-61.86509	-8.020613	0.0	127500	2180.345605134964
51	-48.34	-48.34	-47.1	-8.02469	13.417105	10.989601	-63.271362	-8.02511	0.1	130000	2222.3767518997192
52	-48.04	-48.04	-47.5	-8.073224	13.502018	9.524141	-60.10459	-8.073346	0.1	132500	2265.0055487155914
53	-48.6	-48.6	-49.0	-8.061415	13.525299	12.410566	-62.191402	-8.06142	0.0	135000	2307.670548439026
54	-48.34	-48.34	-49.1	-8.060458	13.526242	7.061385	-58.522057	-8.060838	0.0	137500	2350.6618189811707
55	-47.64	-47.64	-45.3	-8.092354	13.550497	8.408453	-67.80583	-8.092642	0.1	140000	2393.2735755443573
56	-48.8	-48.8	-49.1	-8.084666	13.537546	13.336014	-72.308495	-8.084407	0.1	142500	2437.097443819046
57	-48.16	-48.16	-49.8	-8.094164	13.552778	11.939635	-65.1147	-8.094099	0.0	145000	2480.5713818073273
