Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-48.0	-48.0	-50.0	-0.99710405	1.8073233	0.7596592	-14.16922	-0.99703985	0.0	2500	23.13180685043335
1	-49.0	-49.0	-45.0	-2.3127832	4.6461587	0.86203945	-21.855167	-2.3128252	0.1	5000	51.590537786483765
2	-48.0	-48.0	-50.0	-3.3546524	6.8780994	1.2797437	-45.778954	-3.3546607	0.0	7500	85.80092334747314
3	-48.0	-48.0	-50.0	-4.262479	8.761364	1.1654288	-57.243847	-4.262528	0.0	10000	121.77252292633057
4	-46.0	-46.0	-45.0	-5.162604	10.4946785	1.2442232	-55.343296	-5.162533	0.1	12500	157.25112652778625
5	-50.0	-50.0	-45.0	-5.832134	11.908752	1.3378397	-50.358994	-5.8318744	0.1	15000	192.31495237350464
6	-49.0	-49.0	-50.0	-6.448051	13.128579	1.6964548	-62.075844	-6.4480157	0.0	17500	227.3296000957489
7	-49.0	-49.0	-50.0	-6.8864985	14.036211	2.2636242	-54.993668	-6.886592	0.0	20000	262.64290833473206
8	-48.0	-48.0	-50.0	-7.3400893	14.927809	2.400041	-55.56866	-7.3402977	0.0	22500	297.4281487464905
9	-50.0	-50.0	-45.0	-7.673359	15.661563	2.3152542	-55.749454	-7.673553	0.1	25000	333.3432128429413
10	-47.0	-47.0	-50.0	-8.089948	16.412268	2.6409967	-56.899113	-8.089998	0.0	27500	369.9392910003662
11	-45.0	-45.0	-50.0	-8.276955	16.902576	3.8374915	-55.56159	-8.27707	0.0	30000	407.02296710014343
12	-46.98	-46.98	-50.0	-8.48498	17.295866	3.7969034	-86.20727	-8.485258	0.0	32500	443.51307129859924
13	-48.0	-48.0	-50.0	-8.605651	17.58306	2.6010356	-58.891956	-8.605668	0.0	35000	479.83153343200684
14	-49.86	-49.86	-45.0	-8.614586	17.583717	14.547221	-91.16348	-8.614783	0.1	37500	515.763463973999
15	-47.0	-47.0	-50.0	-8.30159	16.989079	5.65724	-68.3541	-8.301769	0.0	40000	551.258544921875
16	-48.0	-48.0	-45.0	-8.272382	16.913494	3.8294866	-64.87646	-8.272433	0.1	42500	586.8842742443085
17	-49.0	-49.0	-40.0	-8.291805	16.932968	5.837422	-60.921387	-8.291786	0.2	45000	622.5996489524841
18	-49.08	-49.08	-50.0	-8.345692	16.961832	3.6850677	-68.83112	-8.345523	0.0	47500	658.4186155796051
19	-48.7	-48.7	-50.0	-8.448044	17.041761	4.98556	-58.149307	-8.448072	0.0	50000	693.9441034793854
20	-49.0	-49.0	-50.0	-8.635142	17.28682	2.9271975	-60.30421	-8.635771	0.0	52500	730.2377378940582
21	-49.94	-49.94	-50.0	-8.761407	17.493807	3.425665	-58.67505	-8.761465	0.0	55000	766.260018825531
22	-49.34	-49.34	-44.2	-8.907348	17.671919	4.5171084	-57.820904	-8.907047	0.1	57500	801.8720922470093
23	-47.2	-47.2	-50.0	-8.952401	17.738462	2.9720645	-63.589466	-8.952531	0.0	60000	837.6426992416382
24	-49.94	-49.94	-50.0	-9.006145	17.829166	3.196271	-57.944065	-9.006737	0.0	62500	873.4592657089233
25	-50.0	-50.0	-50.0	-9.053512	17.914862	4.2271485	-57.827953	-9.05373	0.0	65000	909.1935522556305
26	-48.9	-48.9	-45.0	-9.126883	18.008411	15.810625	-58.283226	-9.127215	0.1	67500	944.9474442005157
27	-47.04	-47.04	-44.7	-9.173407	18.032637	4.134329	-57.15206	-9.173292	0.1	70000	981.345828294754
28	-48.0	-48.0	-45.0	-9.263075	18.088516	3.4599006	-56.894302	-9.263273	0.1	72500	1017.4871304035187
29	-48.32	-48.32	-50.0	-9.221406	18.019115	4.097266	-62.835335	-9.221111	0.0	75000	1053.7067430019379
30	-49.84	-49.84	-50.0	-9.217971	18.029074	3.370238	-57.538372	-9.217965	0.0	77500	1089.7641875743866
31	-48.02	-48.02	-49.8	-9.270278	18.088596	3.4805884	-58.839264	-9.27006	0.0	80000	1125.0926899909973
32	-47.0	-47.0	-49.6	-9.296979	18.110247	2.8500226	-66.384895	-9.296832	0.0	82500	1160.994972705841
33	-47.96	-47.96	-45.399998	-9.30268	18.11754	3.1084146	-63.56967	-9.302525	0.1	85000	1196.7486009597778
34	-48.84	-48.84	-45.0	-9.296642	18.11499	7.676918	-61.488514	-9.296265	0.1	87500	1232.1881008148193
35	-48.0	-48.0	-50.0	-9.296217	18.121557	4.7186337	-59.675686	-9.296358	0.0	90000	1268.4313406944275
36	-50.0	-50.0	-46.2	-9.315937	18.147387	4.3671956	-59.61197	-9.3156805	0.1	92500	1304.8600828647614
37	-42.78	-42.78	-45.0	-9.28223	18.129435	4.236955	-59.222466	-9.282668	0.1	95000	1341.1759977340698
38	-44.92	-44.92	-50.0	-9.289893	18.137024	4.9888434	-59.775543	-9.29015	0.0	97500	1377.344331741333
39	-48.0	-48.0	-45.0	-9.391702	18.239126	6.8574805	-57.400673	-9.391928	0.1	100000	1412.9148242473602
40	-47.0	-47.0	-50.0	-9.321718	18.177736	6.7490163	-62.0937	-9.3217125	0.0	102500	1448.8120410442352
41	-49.0	-49.0	-50.0	-9.360089	18.22458	6.644025	-59.03881	-9.359769	0.0	105000	1485.3302791118622
42	-47.8	-47.8	-45.7	-9.354278	18.214409	9.315043	-62.23502	-9.354218	0.1	107500	1521.5831611156464
43	-46.02	-46.02	-45.0	-9.311307	18.161993	5.401225	-63.598434	-9.3116665	0.1	110000	1557.5637328624725
44	-47.14	-47.14	-45.0	-9.419416	18.237602	8.544098	-60.90431	-9.41918	0.1	112500	1593.5466651916504
45	-48.8	-48.8	-45.0	-9.398218	18.208595	6.0265684	-79.85315	-9.397822	0.1	115000	1629.479015827179
46	-48.04	-48.04	-45.3	-9.404395	18.201992	4.796903	-61.940815	-9.40434	0.1	117500	1665.5012879371643
47	-47.06	-47.06	-50.0	-9.392819	18.163422	4.9361205	-64.780266	-9.392265	0.0	120000	1701.2960712909698
48	-46.68	-46.68	-44.5	-9.342749	18.093456	6.406026	-62.491898	-9.343271	0.1	122500	1737.6231341362
49	-47.98	-47.98	-45.5	-9.419245	18.13615	5.361536	-59.527485	-9.419362	0.1	125000	1773.9143171310425
50	-48.96	-48.96	-45.600002	-9.45229	18.106693	5.9706883	-62.003723	-9.452318	0.1	127500	1810.2938244342804
51	-48.6	-48.6	-45.0	-9.394342	17.986599	6.819672	-60.14884	-9.394635	0.1	130000	1846.236507177353
52	-49.74	-49.74	-50.0	-9.416154	17.981134	7.2072883	-64.831154	-9.416495	0.0	132500	1882.547747850418
53	-45.08	-45.08	-48.1	-9.35148	17.889362	5.606185	-58.939304	-9.351732	0.0	135000	1918.167748451233
54	-46.84	-46.84	-45.8	-9.350255	17.849121	5.49272	-63.29359	-9.350084	0.1	137500	1953.9059195518494
55	-48.8	-48.8	-40.8	-9.364138	17.816597	5.354507	-61.26751	-9.363899	0.2	140000	1988.661425113678
56	-47.54	-47.54	-39.8	-9.350098	17.766293	4.3405313	-58.379425	-9.349931	0.2	142500	2024.4230234622955
57	-45.22	-45.22	-49.6	-9.2950535	17.70704	4.6541834	-60.84007	-9.294756	0.0	145000	2060.023304462433
58	-48.0	-48.0	-50.0	-9.264511	17.646744	8.971929	-58.487995	-9.26394	0.0	147500	2095.9327325820923
59	-48.44	-48.44	-50.0	-9.226527	17.578005	10.465857	-64.51291	-9.226439	0.0	150000	2132.273307323456
60	-45.3	-45.3	-46.100002	-9.231603	17.55144	6.921918	-60.505676	-9.230686	0.1	152500	2168.4842822551727
61	-46.66	-46.66	-45.0	-9.255212	17.546558	5.256219	-60.2433	-9.254704	0.1	155000	2204.2924304008484
62	-46.58	-46.58	-41.100002	-9.210348	17.496002	6.1887712	-59.438282	-9.210261	0.2	157500	2240.186934709549
63	-47.44	-47.44	-49.6	-9.219875	17.463303	4.946771	-60.186546	-9.219485	0.0	160000	2276.181391477585
64	-47.34	-47.34	-42.2	-9.235048	17.462362	10.195704	-59.855133	-9.234569	0.2	162500	2311.227591276169
65	-45.6	-45.6	-44.899998	-9.273524	17.464632	10.920026	-61.86861	-9.2733755	0.1	165000	2346.7658853530884
66	-48.66	-48.66	-50.0	-9.199591	17.365171	12.634885	-60.986443	-9.19892	0.0	167500	2383.006158351898
67	-47.36	-47.36	-38.7	-9.17305	17.27681	8.588229	-61.131313	-9.172779	0.3	170000	2419.0032358169556
68	-49.34	-49.34	-50.0	-9.102216	17.19994	7.8615537	-60.92731	-9.102388	0.0	172500	2455.4779608249664
69	-47.62	-47.62	-48.2	-9.077099	17.15576	7.533245	-59.309566	-9.076586	0.0	175000	2492.8145565986633
70	-47.8	-47.8	-49.6	-9.139843	17.190742	4.707936	-58.436916	-9.13941	0.0	177500	2529.396329641342
71	-47.28	-47.28	-45.0	-9.170023	17.18835	5.00735	-62.98758	-9.169864	0.1	180000	2565.733324289322
72	-47.16	-47.16	-46.3	-9.160305	17.17953	7.150741	-64.42456	-9.159821	0.1	182500	2601.846168756485
73	-47.58	-47.58	-50.0	-9.184318	17.19908	7.3016357	-62.420494	-9.184409	0.0	185000	2637.6464858055115
74	-47.32	-47.32	-42.899998	-9.225293	17.2045	8.711562	-63.84266	-9.22535	0.2	187500	2673.8889219760895
75	-44.02	-44.02	-44.899998	-9.190375	17.156464	5.577504	-63.489246	-9.189897	0.1	190000	2710.1008059978485
76	-49.24	-49.24	-41.399998	-9.221551	17.16578	4.116096	-66.015144	-9.221289	0.2	192500	2745.909322977066
77	-47.62	-47.62	-49.6	-9.204725	17.118013	6.843245	-63.865673	-9.204358	0.0	195000	2782.138683080673
78	-48.4	-48.4	-42.3	-9.222793	17.11982	8.175231	-60.60502	-9.222499	0.3	197500	2818.084395170212
79	-46.78	-46.78	-50.0	-9.184624	17.072084	9.186308	-62.642693	-9.184398	0.0	200000	2854.2276861667633
80	-48.36	-48.36	-45.3	-9.201938	17.018772	6.688693	-62.122337	-9.201343	0.1	202500	2889.114506006241
81	-45.2	-45.2	-45.5	-9.18544	16.990309	6.6896973	-68.69558	-9.184944	0.2	205000	2921.8599939346313
82	-46.1	-46.1	-49.2	-9.145048	16.940275	5.5155005	-63.660763	-9.145439	0.0	207500	2956.6741211414337
83	-44.98	-44.98	-42.899998	-9.1406355	16.868366	7.2446423	-60.287125	-9.140581	0.2	210000	2992.424457550049
84	-45.26	-45.26	-45.899998	-9.169962	16.868093	4.672632	-65.21669	-9.169693	0.1	212500	3029.477630853653
85	-45.12	-45.12	-42.5	-9.113432	16.761824	4.5276923	-62.917328	-9.113212	0.1	215000	3065.6254510879517
86	-42.3	-42.3	-41.3	-9.130082	16.732944	5.5107994	-61.901894	-9.12965	0.2	217500	3101.6625447273254
87	-43.68	-43.68	-48.8	-9.132079	16.720308	10.107417	-67.01312	-9.131723	0.0	220000	3137.7494254112244
88	-42.94	-42.94	-45.3	-9.158352	16.709713	6.8748894	-60.89495	-9.157374	0.1	222500	3173.2946548461914
89	-45.04	-45.04	-44.5	-9.12034	16.617277	8.058665	-61.0622	-9.120564	0.1	225000	3208.7922065258026
90	-43.26	-43.26	-39.100002	-9.114836	16.57086	4.9883633	-59.992046	-9.114384	0.3	227500	3244.1394102573395
91	-46.66	-46.66	-41.0	-9.069644	16.498209	7.5211363	-63.459503	-9.069652	0.2	230000	3279.830892562866
92	-45.5	-45.5	-41.8	-9.053671	16.447344	7.823553	-62.978188	-9.053322	0.2	232500	3316.1009669303894
93	-45.0	-45.0	-42.600002	-9.095014	16.418243	6.966255	-65.345	-9.094744	0.3	235000	3352.3153233528137
94	-45.48	-45.48	-46.5	-9.165908	16.440866	5.950701	-61.31172	-9.166806	0.1	237500	3388.757170200348
95	-44.42	-44.42	-40.399998	-9.182094	16.435385	5.988156	-67.49944	-9.18248	0.2	240000	3424.8930015563965
96	-43.34	-43.34	-41.8	-9.110059	16.353666	6.4121795	-64.99031	-9.110731	0.2	242500	3460.58185839653
97	-46.66	-46.66	-49.6	-9.182704	16.376524	7.7623386	-66.233665	-9.1826105	0.0	245000	3497.1224052906036
98	-45.84	-45.84	-43.3	-9.167071	16.326654	5.719692	-63.63808	-9.167174	0.1	247500	3533.208427667618
99	-45.88	-45.88	-44.399998	-9.086647	16.242306	11.060328	-66.602684	-9.086458	0.1	250000	3569.1893134117126
100	-45.68	-45.68	-44.899998	-9.10486	16.256788	5.712497	-63.30601	-9.104331	0.1	252500	3605.2846641540527
101	-44.8	-44.8	-45.0	-9.124121	16.178247	6.3898416	-62.366302	-9.124263	0.3	255000	3642.099543571472
102	-42.86	-42.86	-41.3	-9.183998	16.215569	7.679855	-64.53477	-9.183584	0.2	257500	3678.8291227817535
103	-44.4	-44.4	-43.3	-9.184124	16.189682	7.619277	-62.1725	-9.183814	0.2	260000	3714.605453491211
104	-42.5	-42.5	-43.0	-9.169879	16.15628	8.632967	-67.12458	-9.169519	0.1	262500	3750.3073291778564
105	-46.6	-46.6	-47.8	-9.203171	16.14157	6.371748	-63.444073	-9.203314	0.0	265000	3786.4332599639893
