Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-45.0	-45.0	-50.0	-1.2453413	1.7270508	0.7187837	-19.85466	-1.2455503	0.0	2500	33.358341455459595
1	-49.0	-49.0	-45.0	-2.35561	3.8295436	1.1774137	-20.135145	-2.3555083	0.1	5000	69.54574155807495
2	-46.0	-46.0	-50.0	-3.0907738	5.9813848	2.10401	-27.883942	-3.0910156	0.0	7500	105.35019755363464
3	-45.0	-45.0	-50.0	-3.8193362	7.777848	1.8067319	-34.0553	-3.8195603	0.0	10000	140.35476970672607
4	-46.8	-46.8	-50.0	-4.4999933	9.252316	5.070257	-57.962017	-4.5002403	0.0	12500	175.47953844070435
5	-46.0	-46.0	-45.0	-5.1002274	10.613844	2.089822	-42.95524	-5.1002064	0.1	15000	211.60888290405273
6	-48.86	-48.86	-45.0	-5.6840315	11.878321	3.5463402	-52.63223	-5.6841416	0.1	17500	247.55308365821838
7	-48.0	-48.0	-45.0	-6.183116	12.933976	2.790829	-62.683495	-6.1835184	0.1	20000	284.3015787601471
8	-44.0	-44.0	-35.0	-6.6036334	13.826644	3.158902	-54.547577	-6.604046	0.3	22500	321.3706042766571
9	-47.5	-47.5	-50.0	-6.8778005	14.442514	4.0424414	-55.29344	-6.878067	0.0	25000	358.5603892803192
10	-48.0	-48.0	-40.0	-7.2730784	15.1599045	3.35364	-71.045555	-7.273448	0.2	27500	396.76691722869873
11	-48.32	-48.32	-50.0	-7.5375957	15.699368	3.4357715	-62.980957	-7.538044	0.0	30000	433.4403941631317
12	-46.98	-46.98	-45.0	-7.814305	16.150957	3.6482327	-60.74453	-7.8144813	0.1	32500	469.2959473133087
13	-49.0	-49.0	-50.0	-7.9902043	16.467358	3.7499006	-67.80147	-7.9903526	0.0	35000	505.77176570892334
14	-47.0	-47.0	-50.0	-8.181187	16.754835	3.9156163	-59.108326	-8.181305	0.0	37500	541.7287559509277
15	-48.0	-48.0	-44.5	-8.346763	17.012793	5.258741	-70.876015	-8.3472595	0.1	40000	578.5505270957947
16	-48.0	-48.0	-50.0	-8.462491	17.228176	5.4749928	-71.390236	-8.462541	0.0	42500	614.7346184253693
17	-46.96	-46.96	-49.6	-8.610061	17.462894	5.5382795	-57.564808	-8.610266	0.0	45000	651.0659680366516
18	-45.92	-45.92	-45.0	-8.724855	17.679735	5.7876434	-63.066475	-8.724826	0.1	47500	687.7816648483276
19	-45.0	-45.0	-50.0	-8.757596	17.782967	3.945165	-66.27274	-8.757506	0.0	50000	724.3419513702393
20	-47.0	-47.0	-45.0	-8.752779	17.8332	7.752333	-63.08718	-8.752997	0.1	52500	760.4635260105133
21	-47.88	-47.88	-50.0	-8.784552	17.894753	7.0732574	-58.660637	-8.784818	0.0	55000	795.4303734302521
22	-48.0	-48.0	-50.0	-8.869435	18.007364	4.80634	-62.20962	-8.869465	0.0	57500	831.9742879867554
23	-46.82	-46.82	-45.0	-8.926422	18.106781	4.5365853	-59.393303	-8.926311	0.1	60000	868.1355488300323
24	-47.86	-47.86	-50.0	-8.927674	18.162264	6.1982546	-60.508453	-8.927863	0.0	62500	903.9388206005096
25	-49.0	-49.0	-50.0	-8.997107	18.25814	4.2783794	-59.87247	-8.99727	0.0	65000	940.3593785762787
26	-49.0	-49.0	-45.0	-9.070492	18.349054	19.194822	-62.86785	-9.070771	0.1	67500	976.6435520648956
27	-48.96	-48.96	-50.0	-9.104678	18.398865	5.306329	-61.127396	-9.10459	0.0	70000	1013.6715574264526
28	-47.0	-47.0	-50.0	-9.218023	18.511385	7.113412	-78.417175	-9.218251	0.0	72500	1050.0066442489624
29	-49.0	-49.0	-50.0	-9.165528	18.468271	4.4206624	-64.67484	-9.1653185	0.0	75000	1086.932561635971
30	-46.94	-46.94	-50.0	-9.148322	18.457636	3.729121	-59.973648	-9.148134	0.0	77500	1123.940614938736
31	-46.74	-46.74	-50.0	-9.217997	18.531412	7.0911283	-60.881462	-9.217785	0.0	80000	1160.2522308826447
32	-45.0	-45.0	-50.0	-9.207125	18.51415	4.4053526	-60.149696	-9.206961	0.0	82500	1196.2807347774506
33	-48.1	-48.1	-44.8	-9.249125	18.557972	7.0788774	-61.784737	-9.248903	0.1	85000	1232.6682291030884
34	-45.54	-45.54	-45.0	-9.28467	18.592838	5.1972814	-60.04299	-9.2845	0.1	87500	1267.9530746936798
35	-49.98	-49.98	-50.0	-9.328612	18.630644	7.3256893	-68.211685	-9.32819	0.0	90000	1303.6684880256653
36	-49.0	-49.0	-50.0	-9.345456	18.668943	4.70772	-60.22348	-9.345202	0.0	92500	1339.2363998889923
37	-43.1	-43.1	-50.0	-9.301009	18.65834	5.5538826	-61.676346	-9.300912	0.0	95000	1373.9910209178925
38	-48.0	-48.0	-45.3	-9.303549	18.6607	6.94663	-59.723587	-9.303419	0.1	97500	1410.3676581382751
39	-46.78	-46.78	-50.0	-9.36031	18.7044	4.821354	-60.286564	-9.360522	0.0	100000	1446.0868134498596
40	-42.0	-42.0	-50.0	-9.276112	18.63459	6.2414494	-60.41943	-9.275997	0.0	102500	1482.138011455536
41	-48.96	-48.96	-50.0	-9.296203	18.652798	4.005703	-57.37402	-9.29596	0.0	105000	1517.775638103485
