Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-49.9	-49.9	-50.0	-1.0934068	2.1971097	0.8390155	-13.089155	-1.093398	0.0	2500	35.75184774398804
1	-50.0	-50.0	-50.0	-2.4185314	4.8750415	0.33457717	-22.671087	-2.4184704	0.0	5000	72.28611159324646
2	-50.0	-50.0	-50.0	-3.6404061	7.3474813	0.42373788	-27.60984	-3.640306	0.0	7500	108.23598623275757
3	-50.0	-50.0	-50.0	-4.7405415	9.528743	0.80192864	-33.49109	-4.740351	0.0	10000	144.04317355155945
4	-50.0	-50.0	-50.0	-5.6601295	11.375885	0.48257887	-39.70151	-5.659843	0.0	12500	179.79408407211304
5	-50.0	-50.0	-50.0	-6.4571767	12.984141	0.90425557	-42.295242	-6.456975	0.0	15000	216.3207666873932
6	-50.0	-50.0	-50.0	-7.185131	14.393471	0.5165763	-44.436058	-7.184955	0.0	17500	252.45201659202576
7	-50.0	-50.0	-50.0	-7.79972	15.594948	1.1210554	-67.601234	-7.7995296	0.0	20000	289.9839072227478
8	-49.0	-49.0	-50.0	-8.302205	16.588951	0.84974146	-55.424236	-8.302018	0.0	22500	328.1036937236786
9	-50.0	-50.0	-50.0	-8.74897	17.44532	1.1353652	-70.62151	-8.74857	0.0	25000	366.1788866519928
10	-49.04	-49.04	-50.0	-9.115667	18.03492	0.6996629	-64.639114	-9.115649	0.0	27500	403.35958218574524
11	-50.0	-50.0	-45.0	-9.214776	18.28062	0.711976	-64.572556	-9.214655	0.1	30000	440.0395724773407
12	-49.98	-49.98	-50.0	-9.325482	18.404766	1.0217043	-70.72735	-9.325515	0.0	32500	476.6872868537903
13	-49.96	-49.96	-50.0	-9.240427	18.134846	0.9849508	-58.66275	-9.240737	0.0	35000	514.038740158081
14	-49.94	-49.94	-50.0	-9.193473	17.969748	1.0518105	-57.568455	-9.193752	0.0	37500	550.6038620471954
15	-49.22	-49.22	-50.0	-9.226892	17.82825	1.4056317	-59.74804	-9.227091	0.0	40000	587.2512018680573
16	-50.0	-50.0	-50.0	-9.253294	17.74731	3.5767846	-65.806564	-9.254086	0.0	42500	623.2082228660583
17	-49.94	-49.94	-50.0	-9.24354	17.742783	2.8114147	-71.50463	-9.244095	0.0	45000	659.5211284160614
18	-49.92	-49.92	-50.0	-9.300403	17.74001	3.5031884	-63.5024	-9.301173	0.0	47500	696.1218950748444
19	-50.0	-50.0	-50.0	-9.264749	17.608534	2.7350538	-65.83872	-9.265664	0.0	50000	732.4651317596436
20	-50.0	-50.0	-49.7	-9.339723	17.551708	5.1168137	-59.217915	-9.340048	0.0	52500	768.1139297485352
21	-50.0	-50.0	-50.0	-9.40259	17.53001	3.2784991	-58.16734	-9.403073	0.0	55000	803.2078540325165
