Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpRealRet	StdEpRealRet	MaxEpRealRet	MinEpRealRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TotalEnvInteracts	TotalTime
20	1.1100376	1.1323645	4.2619276	0.038274974	1.1100376	1.1323645	4.2619276	0.038274974	0.5921262	0.35158038	0.9915617	0.11094322	4199	54.54014706611633
40	1.350587	1.5690386	6.0257826	0.06403143	1.350587	1.5690386	6.0257826	0.06403143	0.9751455	0.9208942	2.7886677	0.14984404	8199	103.5943353176117
60	0.44489145	0.47369903	1.5455683	0.017994968	0.44489145	0.47369903	1.5455683	0.017994968	0.9015208	1.2546687	3.6470616	0.0906651	12199	152.33215999603271
80	0.6693457	0.65222996	2.511055	0.053813785	0.6693457	0.65222996	2.511055	0.053813785	0.26731777	0.2198445	0.715886	0.038554445	16199	201.0539243221283
100	0.9613341	1.1769893	4.3639374	0.035254493	0.9613341	1.1769893	4.3639374	0.035254493	0.32772836	0.1482055	0.56151855	0.109141186	20199	249.58174753189087
120	1.4890362	1.7489963	7.220412	0.06523442	1.4890362	1.7489963	7.220412	0.06523442	0.2551084	0.12077639	0.4837321	0.14845553	24199	298.14970993995667
140	1.4077961	1.5397099	6.8210816	0.05314753	1.4077961	1.5397099	6.8210816	0.05314753	1.3969754	1.5040914	4.6773105	0.41791993	28199	347.1518540382385
160	1.490454	2.079421	8.577993	0.12925127	1.490454	2.079421	8.577993	0.12925127	0.3526323	0.29104415	0.9407281	0.05215815	32199	396.1028106212616
180	0.8277956	0.96408397	4.304998	0.04383822	0.8277956	0.96408397	4.304998	0.04383822	1.1623628	1.01758	3.2940347	0.10981691	36199	444.96167278289795
200	0.79174507	0.8733912	2.919743	0.068174794	0.79174507	0.8733912	2.919743	0.068174794	0.7166895	0.5238773	1.7635628	0.154522	40199	493.77974462509155
220	0.98859626	1.1370378	3.3544931	0.0687394	0.98859626	1.1370378	3.3544931	0.0687394	1.0257405	0.93762714	2.8625247	0.050919876	44199	542.723958492279
240	1.116715	0.89365035	3.6178467	0.095017925	1.116715	0.89365035	3.6178467	0.095017925	1.1631397	1.7503039	4.9885516	0.063242726	48199	591.8075256347656
260	1.0965197	2.047451	9.587758	0.1052857	1.0965197	2.047451	9.587758	0.1052857	1.2995502	1.1163918	3.596399	0.27233225	52199	640.8007061481476
280	1.2657723	1.238789	4.6015244	0.06576589	1.2657723	1.238789	4.6015244	0.06576589	0.72331333	0.7437716	2.3311841	0.12722352	56199	689.9943075180054
300	1.1998256	1.552382	6.3570814	0.03387931	1.1998256	1.552382	6.3570814	0.03387931	0.64049774	0.6830346	1.9502977	0.046105485	60199	739.0332436561584
320	0.75300425	0.9599288	4.430564	0.071590215	0.75300425	0.9599288	4.430564	0.071590215	0.89582115	0.6324711	2.0243452	0.12352752	64199	788.148951292038
340	1.5856673	1.7403849	6.957909	0.07318517	1.5856673	1.7403849	6.957909	0.07318517	0.4814701	0.45400682	1.1680763	0.0610492	68199	836.9805181026459
360	0.82600766	0.7769634	2.3108199	0.075430706	0.82600766	0.7769634	2.3108199	0.075430706	0.8051693	0.6024521	1.9945221	0.1679192	72199	885.484589099884
380	0.65968454	0.67362225	2.8846412	0.038686167	0.65968454	0.67362225	2.8846412	0.038686167	0.19158421	0.10073531	0.35224396	0.040032778	76199	933.9803371429443
400	0.96533805	1.1938238	4.674112	0.038714577	0.96533805	1.1938238	4.674112	0.038714577	0.38349047	0.3005908	1.036763	0.16290413	80199	982.7097361087799
420	1.0512422	1.4447736	5.041704	0.043145053	1.0512422	1.4447736	5.041704	0.043145053	0.89721566	0.90748703	2.872648	0.18956	84199	1031.6315762996674
440	1.1503607	1.8036124	8.337154	0.021698413	1.1503607	1.8036124	8.337154	0.021698413	0.22165187	0.12185904	0.42616057	0.10568405	88199	1080.5281751155853
460	1.0834692	1.8361882	6.423663	0.057041347	1.0834692	1.8361882	6.423663	0.057041347	1.0814425	1.0666314	3.1289287	0.12138397	92199	1129.2428004741669
480	1.2264603	1.5669929	5.422123	0.058012556	1.2264603	1.5669929	5.422123	0.058012556	0.23111458	0.18002222	0.51179856	0.036618732	96199	1178.0686740875244
500	0.92092216	0.93025637	2.8885128	0.08978464	0.92092216	0.93025637	2.8885128	0.08978464	0.6196644	0.45888042	1.2709262	0.042498082	100199	1227.1714720726013
520	1.0517422	1.0284954	4.357782	0.07542392	1.0517422	1.0284954	4.357782	0.07542392	0.588253	0.3844443	1.3535175	0.22655053	104199	1276.6797795295715
